s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1961;149;1961-05-29;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1961;151;1961-05-31;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1961;155;1961-06-04;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;60;1961;161;1961-06-10;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1961;166;1961-06-15;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1961;173;1961-06-22;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;81;1961;270;1961-09-27;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;100;1961;277;1961-10-04;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1961;283;1961-10-10;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1961;319;1961-11-15;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;95;1961;354;1961-12-20;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;60;1962;118;1962-04-28;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1962;121;1962-05-01;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1962;128;1962-05-08;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1962;134;1962-05-14;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;60;1962;137;1962-05-17;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;65;1962;144;1962-05-24;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;60;1962;145;1962-05-25;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;69;1962;147;1962-05-27;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;60;1962;151;1962-05-31;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;65;1962;151;1962-05-31;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;60;1962;158;1962-06-07;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;65;1962;159;1962-06-08;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1962;163;1962-06-12;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;65;1962;164;1962-06-13;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1962;166;1962-06-15;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;69;1962;169;1962-06-18;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;380;1962;286;1962-10-13;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;81;1962;287;1962-10-14;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;380;1962;295;1962-10-22;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1962;298;1962-10-25;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;87;1962;302;1962-10-29;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;87;1962;314;1962-11-10;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1962;321;1962-11-17;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;60;1963;88;1963-03-29;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;65;1963;119;1963-04-29;0;CC BY-NC 4.0
