feature,metric,threshold_mm,coef,stderr,pvalue,r2,adj_r2,n,mean_value,sd_value
cwb_days_lt_neg6p0,count,-6.0,-0.00377016933296216,0.0041552460591776225,0.36500552900575517,0.37077494141801737,0.2907321777821468,320,16.55625,14.410352807099429
cwb_days_lt_neg4p0,count,-4.0,0.020084221441763278,0.0061938423394556855,0.0013261723783043605,0.3915507378916584,0.31415083175773506,320,43.875,7.7651661696729475
cwb_days_lt_neg2p0,count,-2.0,0.03876417811572908,0.008390157184129629,5.82950470564671e-06,0.4132054693214715,0.33856022866978586,320,49.746875,4.836024972969531
cwb_days_lt_0p0,count,0.0,0.05352073566534422,0.010409576624237173,5.09405619150001e-07,0.42285538954918644,0.34943770058724544,320,52.078125,3.563594604427136
cwb_run_lt_neg6p0,run,-6.0,-0.011544753937413972,0.00590593519318076,0.0515944019832542,0.377351676126948,0.29814552892048196,320,6.1125,6.010427198603928
cwb_run_lt_neg4p0,run,-4.0,0.0031951054106157282,0.003353420665085428,0.34150958882510024,0.37096236355582846,0.29094344160533314,320,17.690625,8.97757077597373
cwb_run_lt_neg2p0,run,-2.0,0.005856573733490964,0.002371888110794555,0.01413356337661776,0.3822528512315041,0.3036701750630735,320,24.278125,11.983824897305492
cwb_run_lt_0p0,run,0.0,0.001744217278497667,0.002211747502767908,0.4309971708789237,0.3703282845005794,0.29022870231690756,320,28.98125,13.170200939620042
