feature,r2,slope,n,p,pheno_key
fruit_set_vpd_mean_lpf30_peak,0.15097769483553375,-0.3308380098147438,354,3.3267457230660957e-14,olive
flower_veraison_precip_mean_lpf7_peak,0.15065991282388866,-0.3456377344482857,386,2.500557285462355e-15,vine
tmax_mean_lpf3_peak_doy,0.14987401622283084,-0.009723114658199052,118,1.4862593883131189e-05,cherry
maturation_precip_mean_lpf30_peak,0.14898620324236034,0.08514887144499927,96,0.00010275667483744054,hazelnut
et0_mean_lpf3_peak_doy,0.14853023594273468,-0.052203375010905224,386,4.072386836626653e-15,vine
fruit_dev_precip_mean_lpf30_peak,0.14576803669099442,-0.17444445273214607,118,1.9903360037937403e-05,cherry
et0_mean_lpf14_peak_doy,0.14281163446364853,-0.10002646973382168,96,0.00014707264682007175,pome_fruit
tmax_mean_lpf30_peak_doy,0.142770384410324,-0.01740333288948068,118,2.4617527171477107e-05,cherry
pre_flower_vpd_max_lpf3_peak,0.14242760531045137,-0.9623260304312969,118,2.5222389907008285e-05,cherry
maturation_et0_mean_lpf14_peak,0.13978568912848724,-0.13035970771496894,96,0.0001752164960638597,hazelnut
precip_mean_lpf7_peak_doy,0.1392317461282906,0.01079810123766043,57,0.004253110652706657,apricot
tmax_mean_lpf7_peak_doy,0.1389499330491106,-0.05777230370946924,57,0.004295163967526158,apricot
pre_flower_tmax_mean_lpf14_peak,0.1388863233101662,-0.12362791623026714,118,3.239823298096005e-05,cherry
fruit_dev_precip_mean_lpf14_peak,0.13576251252937088,-0.1280378512409087,118,4.038131800188132e-05,cherry
vpd_max_lpf14_peak_doy,0.13498728457192732,-0.07016396860371951,96,0.00023110572668107234,pome_fruit
vpd_max_lpf14_peak_doy,0.1341190160244076,-0.052302926959431,57,0.005083140007983859,apricot
tmax_mean_lpf14_peak_doy,0.1337774386455114,-0.11785419020315911,52,0.0076651474771904085,other
pre_flower_vpd_max_lpf14_peak,0.13205721055480693,-1.4027807675409893,118,5.240135391874313e-05,cherry
tmax_mean_lpf7_peak_doy,0.13111670021463598,-0.011455217889476023,118,5.597768704265029e-05,cherry
tmax_mean_lpf7_peak_doy,0.129663022188776,-0.004255867818835313,205,1.138425784206649e-07,almond
maturation_vpd_max_lpf30_peak,0.1267035401936869,-0.3114877839839495,354,5.1682536135962255e-12,olive
precip_mean_lpf30_peak_doy,0.1265608772120212,0.0009446123174836771,96,0.00037494973494789927,hazelnut
vpd_max_lpf7_peak_doy,0.12504030971371688,-0.049090673261085634,52,0.010122760754162038,other
maturation_vpd_mean_lpf30_peak,0.1229944314484333,-0.3306578705076555,354,1.105307971541478e-11,olive
pre_flower_vpd_mean_lpf30_peak,0.12033035387258079,-1.6025966120589867,118,0.00011896985803505526,cherry
et0_mean_lpf7_peak_doy,0.1200225781559628,-0.06260059701394452,57,0.008292033805454931,apricot
vpd_mean_lpf7_peak_doy,0.11844978935280262,-0.04741110135019003,52,0.012478302405800296,other
et0_mean_lpf3_peak_doy,0.11761032649273327,-0.05751591742807649,57,0.009013946573765712,apricot
vpd_max_lpf7_peak_doy,0.11752388561666521,-0.052184878090442255,96,0.0006281931404071839,pome_fruit
precip_mean_lpf3_peak_doy,0.11569463397913034,0.010581434038448337,57,0.009631339648857163,apricot
