feature,threshold_kpa,coef,stderr,pvalue,r2,adj_r2,n,mean_run_days,sd_run_days
vpd_run_ge_2p0,2.0,-0.0015088269680942734,0.002580282088381367,0.5591798957203551,0.369706088713347,0.2895273579489671,320,21.515625,15.068903590093193
vpd_run_ge_2p5,2.5,-0.00466009047118098,0.0036362962053630926,0.20105003488035053,0.37258568062445063,0.2927732583717305,320,11.0,10.71459321845634
vpd_run_ge_3p0,3.0,-0.009377463628877406,0.005980277463284189,0.11798339042849677,0.37438019237539444,0.2947960472358686,320,5.58125,6.401872644330873
vpd_run_ge_3p5,3.5,-0.01156817140238343,0.012251493901051791,0.3458599089083472,0.3709263638118644,0.2909028623886386,320,2.771875,3.5904553352056316
