window_end_doy,window_end_date,n,coef,stderr,t,p,r2
152,06-01,174,-0.09441563275434245,0.08976227701698727,-1.0518408834089017,0.29450961629982997,0.3637015155435601
159,06-08,174,1.3723164501717711e-16,1.779290047267834e-16,0.7712719195383654,0.4417124286667757,0.3591597021679923
166,06-15,174,-0.016076794843298606,0.038106462313316165,-0.4218915603110349,0.6736887353868047,0.3598947597468184
173,06-22,174,-0.011014461580705695,0.01727832443294979,-0.6374727840913267,0.5247574530029174,0.3608354331102134
180,06-29,174,0.02119809450542941,0.019599687595932398,1.0815526728001899,0.2811311661794374,0.3639597794664955
187,07-06,174,0.015873717778368338,0.013121944982951089,1.2097076918850473,0.2282328490624178,0.36515344292362095
194,07-13,174,-0.003605429169574349,0.013508681807324358,-0.26689718663885464,0.7899030840496023,0.3594540809894421
201,07-20,174,-0.041908275324805795,0.012370625197549352,-3.3877249254231643,0.000893486413317747,0.40333837710885534
208,07-27,174,-0.030332757622719444,0.010778982194500806,-2.8140651014522073,0.005526555957251571,0.3903088707193927
215,08-03,174,-0.01487179929710052,0.014276227498469215,-1.0417177296099522,0.2991646691210817,0.3636151182396561
222,08-10,174,-0.012750043839652107,0.01066042659777388,-1.1960162872201179,0.23351661494406503,0.3650197706718453
229,08-17,174,-0.04025449882514753,0.013302765988079918,-3.0260247275805647,0.002902070571454029,0.39490639046239406
236,08-24,174,-0.044662348799422456,0.011607418148935528,-3.8477418687219664,0.00017381598495774028,0.41503384801817844
243,08-31,174,-0.031849083871825015,0.01451730184968528,-2.1938707482696223,0.029733637094697948,0.3784598038668133
250,09-07,174,0.0015643292952518249,0.034009932975606894,0.045996247519035575,0.9633724481277031,0.35916844912500845
257,09-14,174,-0.0013030275725355814,0.03433179128990488,-0.0379539640542651,0.9697732256478626,0.3591656578069645
