window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
152,06-01,100,-0.15979191152386307,0.05669576163863792,-2.8184101757434648,0.005946625863508495,0.37633173481981164,0.08193887335902905
159,06-08,100,-0.131437523019817,0.050973177500640864,-2.5785624805941225,0.01156328706804919,0.3678914121526472,0.06951442823387655
166,06-15,100,-0.03844413556387301,0.030610213510304043,-1.2559251032643697,0.21243014621964176,0.33249818055889524,0.017414374589112436
173,06-22,100,-0.07932269933271963,0.027611295245825954,-2.8728351432448997,0.005085584273306187,0.3783180827020758,0.08486284572784175
180,06-29,100,0.05866055875181695,0.05412734198606461,1.083750958377366,0.2814024706084816,0.3295162858836861,0.013024923116451093
187,07-06,100,0.11945093731659201,0.04404200240302417,2.7122049588823836,0.008022239615968855,0.37252989408551396,0.07634243309950972
194,07-13,100,0.12117955709696558,0.05723841762110705,2.117101802134373,0.037041276096363006,0.3532394807286683,0.04794628147771918
201,07-20,100,-0.04258080925859111,0.035794179181657455,-1.1896015003582323,0.2373669624557086,0.33130074613131677,0.01565170994664622
208,07-27,100,0.03565007491351771,0.08601787784674593,0.4144495982222881,0.6795420982065021,0.3219766128026701,0.001926265144392425
215,08-03,100,-0.16963131995432068,0.036669211154261985,-4.625987705072428,1.259128433947394e-05,0.4523489610012923,0.19383884359741932
222,08-10,100,-0.1390153296501364,0.04887564706514792,-2.8442657641921016,0.00552215103862864,0.37727222867215005,0.08332331264170956
229,08-17,100,-0.16982957310976787,0.0362263941784506,-4.688006547745004,9.88546043449459e-06,0.45519951303019845,0.19803495417946126
236,08-24,100,-0.03984705265301403,0.046104864552022194,-0.864270029641944,0.389762971849225,0.3263221094976383,0.008322985667673422
243,08-31,100,-0.23076185788898151,0.0747881958931269,-3.0855385015403045,0.0027076084131939316,0.3863153847309162,0.09663514924333994
250,09-07,100,-0.15414555046212483,0.0316860912238156,-4.8647701407318875,4.914890947001298e-06,0.4633647181983961,0.21005441688822102
257,09-14,100,-0.10075725758974217,0.031867575502616916,-3.161748454364473,0.002144655453468121,0.3892667833553961,0.10097970948094293
