window_end_doy,window_end_date,n,coef,stderr,t,p,r2
152,06-01,354,-0.08326129943502943,0.04636091333033483,-1.7959374277587832,0.0734566254896242,0.37816909032231594
159,06-08,354,-0.03702757078986638,0.03378073908566434,-1.0961148806119494,0.2738605216151611,0.3742139290040656
166,06-15,354,-0.013300322327369012,0.016890794929281066,-0.787430217645483,0.4316184109515402,0.3730683921585568
173,06-22,354,-0.006568580943106076,0.010417435221263949,-0.6305372487172624,0.5287974298005382,0.3726289655950208
180,06-29,354,0.02145821938242703,0.013058686578796419,1.6432142124667466,0.10133007153140504,0.377147478650821
187,07-06,354,0.02046873556848623,0.009157839292852478,2.2351053467887008,0.026106693148993627,0.38158786322938587
194,07-13,354,0.01010338579216641,0.010312882781390377,0.9796858944618274,0.3279882645397761,0.37373826478488414
201,07-20,354,-0.04050402421514126,0.01010945293728649,-4.006549559744335,7.683391562818607e-05,0.40211803668733004
208,07-27,354,-0.03925072949574357,0.008862795146508867,-4.428707743651818,1.30665861787357e-05,0.40844299301931386
215,08-03,354,-0.023246857142856785,0.011216321936193721,-2.072591824227332,0.03901819453212747,0.3802404281634486
222,08-10,354,-0.019385566270249614,0.008063776551798426,-2.4040306853401265,0.016788984789998115,0.383089289978202
229,08-17,354,-0.046864478390355714,0.009573045042375175,-4.895462016830554,1.5648030477126257e-06,0.4159936471640123
236,08-24,354,-0.05132626508363767,0.008143611831546953,-6.302641401056045,9.790545849826963e-10,0.44179129121625826
243,08-31,354,-0.04248393823169778,0.010495856929168013,-4.047686484143549,6.506001985317343e-05,0.40271222920098704
250,09-07,354,0.028331037451571166,0.020563790085858798,1.3777147759864419,0.16926319076763172,0.3755809533334592
257,09-14,354,0.014620664377482814,0.02308896657868515,0.6332316488768298,0.5270389447129291,0.37263569607373936
