window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
60,03-01,174,-0.0019440272940100924,0.013664137297857098,-0.1422722307038709,0.887049744327211,0.3592433783173833,0.00013057254619319725
67,03-08,174,0.0019199179803602814,0.015686120224466103,0.12239597509687124,0.9027439749493452,0.359221633499308,9.664081913296485e-05
74,03-15,174,-0.03136253358165932,0.014465575576534714,-2.1680805866123953,0.031678150321163646,0.37802198182167834,0.029433666574181006
81,03-22,174,-0.032600259501540996,0.013036204035416896,-2.5007478720778127,0.013432826887122083,0.38401276017893304,0.038781983740754145
88,03-29,174,-0.022394409995376053,0.010854905899709397,-2.063068091265129,0.04077435153034702,0.37628666883937745,0.026725795380419415
95,04-05,174,-0.020879122678503993,0.01048431766957981,-1.9914622330726064,0.04818710216114818,0.3751475472029827,0.024948251676865874
102,04-12,174,-0.011639960479135703,0.012014287435133072,-0.9688431829171379,0.33413278523990664,0.3630171760942634,0.006019399746428622
109,04-19,174,-0.008640532299017385,0.012900273889541302,-0.6697944844428895,0.5039853892155509,0.3610091669403972,0.002885999489516955
116,04-26,174,0.010959195350715031,0.012082435474912329,0.9070352888265313,0.36579608660454493,0.3625432118212015,0.005279801636470016
123,05-03,174,0.008369778498237376,0.01256157773148991,0.6662999407515229,0.5062099017520332,0.36098997369504093,0.0028560493671211384
130,05-10,174,-0.0014192756358062802,0.01184225444445887,-0.11984843278471996,0.9047584171090437,0.3592190824957432,9.266010260589042e-05
137,05-17,174,0.006273951694214746,0.010988686080876098,0.5709464851428844,0.5688627728732917,0.3605046223754015,0.0020986823268749344
144,05-24,174,-0.0016407876202263229,0.011512891720559979,-0.14251741960676723,0.8868564098337781,0.3592436669394351,0.00013102292681499428
151,05-31,174,-0.0035218962957547836,0.010979333447873715,-0.3207750554690406,0.7488129377378681,0.3595848413009508,0.0006634088623904688
158,06-07,174,0.0011918221164361176,0.008568686144369305,0.13909041553812695,0.8895592564375997,0.35923967791808764,0.00012479825373978848
165,06-14,174,0.005633843267593157,0.008691291103029873,0.6482170716418809,0.5178036685035547,0.3608922423671448,0.002703544401021385
172,06-21,174,0.009747863690123383,0.009802186941450042,0.9944580478161515,0.32154984866762076,0.3632225346987519,0.006339851823464415
179,06-28,174,0.007472410040825522,0.01101362444838575,0.6784696605412891,0.4984856466412671,0.3610572429432347,0.0029610197449537745
186,07-05,174,-0.013350777164960461,0.013647117472817969,-0.9782855017956904,0.32945755526198256,0.3630922685053012,0.0061365777879653916
193,07-12,174,-0.04077219663703552,0.018426121308587996,-2.212738967371963,0.028377460721696585,0.37878300028485934,0.03062119873430824
200,07-19,174,-0.05243964709792491,0.019429139735368278,-2.6990205337020248,0.007726174927956548,0.3879260403711372,0.044888466440801134
207,07-26,174,-0.026398990742907587,0.020800479232430263,-1.2691530059436622,0.20628893693619954,0.365750776529451,0.01028504977567224
214,08-02,174,0.02597022774687078,0.023752705857357042,1.0933587062809054,0.2759326585424557,0.3640643385633675,0.0076534456587202815
221,08-09,174,0.0266113480283562,0.018912059042397154,1.4071100332702398,0.16139680774720078,0.3672425001198506,0.012612811615004493
228,08-16,174,-0.015808179182916438,0.016467772501876917,-0.9599464154071049,0.3385772227070369,0.3629470727360551,0.0059100068782750315
235,08-23,174,-0.01848762108028301,0.01457925703774514,-1.2680770379738324,0.2066718713917674,0.3657397203485607,0.01026779714513748
242,08-30,174,-0.029506444371589134,0.01800889454693862,-1.638437289678339,0.10335884340648406,0.3700695958800452,0.017024356534633855
249,09-06,174,-0.01006779354278295,0.012536718523280851,-0.8030644960311525,0.4231671809420609,0.36181501525241155,0.004143486440229327
256,09-13,174,0.013084119665450488,0.015253487577457658,0.8577788914835996,0.39233897188775696,0.3621873970579552,0.0047245700687144065
