window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
152,06-01,100,-0.10618503937007873,0.10124120951857553,-1.0488321887402592,0.2970951925192332,0.32896213489525494,0.012209193811030583
159,06-08,100,-0.04636022514071312,0.07014795569443111,-0.6608920342976375,0.5103887035000263,0.32398566158001507,0.004883654011169525
166,06-15,100,-0.032555387713998046,0.036265590366241274,-0.8976935818561232,0.3717709680519309,0.32676388048187477,0.008973287743550662
173,06-22,100,-0.02172975223818452,0.023311796714204778,-0.9321354550481191,0.35378833018158656,0.32723600371668204,0.009668269375709415
180,06-29,100,0.024503249390738804,0.03261556670958052,0.7512746784050576,0.45446933562601205,0.3249490278423137,0.006301762267612809
187,07-06,100,0.045010118406889184,0.023337691621714556,1.9286448349934284,0.05696217962861898,0.34792106234342457,0.040117386779518927
194,07-13,100,0.052673745173745144,0.028580383470097295,1.8430034442629482,0.06865730557856616,0.3456414616011414,0.03676173611939204
201,07-20,100,-0.04024359912216521,0.03075419074538159,-1.30855659494824,0.1940537186533832,0.3334913685522982,0.018876381458944658
208,07-27,100,-0.057855766035227574,0.02895347063666344,-1.9982325007339707,0.048743829713018806,0.3498372137861282,0.042938027576104765
215,08-03,100,-0.04708703438395425,0.030316316157275487,-1.5531911641135867,0.12392641650944333,0.33859582886766115,0.026390322522888754
222,08-10,100,-0.05190505127231266,0.021684719082010542,-2.393623411767997,0.018782831681049838,0.3617554485289016,0.06048207883925649
229,08-17,100,-0.08592971834693305,0.024714416304822122,-3.476906647808105,0.0007866167637827098,0.4019070683423275,0.1195866435259394
236,08-24,100,-0.049483040935672545,0.02031894412956322,-2.435315566603521,0.016873090744875422,0.3631090356354859,0.06247460559339313
243,08-31,100,-0.02486469833119414,0.025878983367678566,-0.9608066119880423,0.3392525030366385,0.3276420483489736,0.010265981033332983
250,09-07,100,0.03232953549517997,0.047939341521712565,0.6743842211628494,0.5018150465852735,0.3241218078542336,0.005084066007218224
257,09-14,100,0.024081235697940805,0.05485500743875561,0.4389979479052476,0.6617269656202065,0.3221358756240289,0.002160705492526005
