window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
60,03-01,100,-0.00010724275892491674,0.0013486559540436106,-0.07951824822585471,0.9367989428811144,0.3207163001562492,7.104160217996647e-05
67,03-08,100,-0.0003471559504625983,0.001374727222920874,-0.25252715205929965,0.8012159342162609,0.32115444332210463,0.0007160034046842512
74,03-15,100,-0.002561948397782938,0.0013663315099759323,-1.8750562210396995,0.0640642421000341,0.34648437258032805,0.038002530058116046
81,03-22,100,-0.002145962304773854,0.0014803980505400235,-1.449584660011572,0.15068909783897297,0.3363371613497682,0.023065486288700976
88,03-29,100,-0.0025583050418912425,0.0014001820274743382,-1.8271231823378977,0.0710329645135062,0.345228440503368,0.03615375486474415
95,04-05,100,-0.0038763151945285356,0.001406337425029804,-2.756319447622171,0.0070908174155879,0.374096931881035,0.0786491666057102
102,04-12,100,-0.0024636058721707248,0.001183258281640637,-2.0820525073822704,0.04020858992644178,0.3522196212089652,0.04644501320426675
109,04-19,100,-0.00287964268572355,0.0011334886375015132,-2.540513058931926,0.012802414729279862,0.3666015710365279,0.06761573776914642
116,04-26,100,-0.0024805973582014153,0.0008535125633155538,-2.9063395957117377,0.004614127864011817,0.3795533728006112,0.08668123521934845
123,05-03,100,-0.0031165019788607926,0.0008707207053864581,-3.5792211665364886,0.0005606081509090738,0.40614816745190474,0.12582968721457344
130,05-10,100,-0.002493378379073236,0.0009226538075595166,-2.702398623020258,0.008243866098751221,0.3721839333264765,0.075833166968863
137,05-17,100,-0.001703666199128796,0.0008843137705072459,-1.9265403931814455,0.05722796323900026,0.3478640001495572,0.04003338926847777
144,05-24,100,-0.0031084420875053167,0.0008225232311593983,-3.7791541560762627,0.00028411709540284043,0.4146071831642343,0.13828164914483332
151,05-31,100,-0.003225633761239503,0.0008790582508021014,-3.6694198118227734,0.0004137547709705646,0.40993748219630133,0.13140768878634312
158,06-07,100,-0.0036457900944350486,0.0008552519816649326,-4.262825661435746,5.009217670125627e-05,0.4358533614281753,0.16955675394461533
165,06-14,100,-0.003534270939660027,0.0009567778557102999,-3.6939305383862884,0.00038066251272032267,0.41097498996965276,0.13293493589587269
172,06-21,100,-0.004435303707615266,0.0012128489107231303,-3.6569301158631777,0.00043165070243039174,0.4094100683378681,0.1306313174554412
179,06-28,100,-0.004923823005767438,0.0012247895919003911,-4.0201378574156585,0.00012154317563906774,0.425069634087874,0.15368273657968534
186,07-05,100,-0.0039872632580551645,0.0011687191451110494,-3.411652213223822,0.0009730867522221872,0.39923566686658285,0.11565424871693963
193,07-12,100,-0.006487204535453391,0.0011474382502822784,-5.65364152176162,1.8720521060149902e-07,0.50017597622143,0.2642418541854098
200,07-19,100,-0.007901704367365509,0.0012301772644609619,-6.423224193488791,6.382684947712509e-09,0.5358393869379334,0.31673962078700735
207,07-26,100,-0.009367660256147372,0.0017781038354575806,-5.268342640820344,9.502680389819038e-07,0.48216076687042375,0.2377228466988266
214,08-02,100,-0.00811645594566771,0.0026899897533494807,-3.017281361596781,0.0033254798001305565,0.3837096079078479,0.09279935617910606
221,08-09,100,-0.007291963681870912,0.002326408373929708,-3.134429777500121,0.0023325568985331207,0.3882038086485349,0.0994149741697915
228,08-16,100,-0.009925159551980872,0.001929303395335028,-5.1444265199447,1.5845240442384817e-06,0.47637397085103816,0.22920448402141258
235,08-23,100,-0.0017656928029973584,0.0015927930145515337,-1.1085513226553836,0.2706104793873981,0.32992030427354346,0.013619652075554045
242,08-30,100,-0.002840847999823387,0.001629516098539183,-1.7433690912106545,0.08472250532367609,0.3431010341145607,0.033022139525029415
249,09-06,100,0.0006355499620185395,0.0011475702842491402,0.553822254498671,0.5810892901810879,0.3230011681495143,0.0034344458368285036
256,09-13,100,0.0014173635062843953,0.0010803875237363249,1.3119028822016567,0.192926761397936,0.33355579114359946,0.018971213728042224
