window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
60,03-01,100,-0.022247124899705917,0.026445029871097054,-0.8412592085600473,0.40245740458204965,0.32602738667053544,0.007889143534277832
67,03-08,100,-0.0635281873373807,0.03312997591649415,-1.9175440241039368,0.05837602839151333,0.347620652864445,0.0396751736990667
74,03-15,100,-0.14883644510828944,0.02711593616965251,-5.488891999785113,3.7728726854349795e-07,0.4924738324013477,0.2529040337000712
81,03-22,100,-0.11233166499833197,0.027159543636944474,-4.135992360546512,7.991112900500007e-05,0.43018964165629214,0.1612195637346059
88,03-29,100,-0.07984522613065315,0.02140423908197584,-3.7303463965644776,0.0003361054177356489,0.41252237262945124,0.1352127363665907
95,04-05,100,-0.06226192301794226,0.018989946004867128,-3.278678254376527,0.0014889986420597741,0.3938776191584429,0.10776701829307023
102,04-12,100,-0.041166727873669005,0.021561871195488844,-1.909237259625309,0.0594533066098003,0.3473968101929906,0.03934566959148422
109,04-19,100,-0.047031659797677,0.02165395392918207,-2.171966373969907,0.0325171273773457,0.35486345086145765,0.050336821341582794
116,04-26,100,-0.057768306161923105,0.018073201862208798,-3.196351515484208,0.0019268937714535125,0.3906210643909479,0.1029732577223752
123,05-03,100,-0.059114734299517024,0.020383003755839846,-2.9001973903174267,0.004697425866300071,0.37932620994886357,0.086346843692234
130,05-10,100,-0.059221395678356534,0.020673802091519644,-2.864562377843843,0.005208619688734554,0.37801452442809014,0.0844159975128922
137,05-17,100,-0.041091651865009016,0.021193560437705077,-1.9388744041281334,0.0556850512274173,0.3481991827424342,0.04052678956800748
144,05-24,100,-0.03587922330097085,0.031766002096995774,-1.1294850132986698,0.2617283475440629,0.3302680552466355,0.014131553462832791
151,05-31,100,-0.0549895381474866,0.025269520880293554,-2.176121122675112,0.03219500909681827,0.35498778505103334,0.050519845542964625
158,06-07,100,-0.045323442136498575,0.022322821832347826,-2.030363476306599,0.04530462213095526,0.35074095832690366,0.04426837060880706
165,06-14,100,-0.04724858428924056,0.01891063155525858,-2.4985196370187803,0.01430760803895895,0.36519431156860493,0.0655442034539857
172,06-21,100,-0.07547599210699409,0.022668345328183053,-3.3295765974218,0.0012669063951660337,0.3959145536733494,0.11076545592418596
179,06-28,100,-0.10276235124413985,0.028841055216483932,-3.5630579558478375,0.0005916687522474526,0.4054740410730987,0.12483735001004004
186,07-05,100,-0.13582940949440359,0.02845915215498304,-4.772784823479733,7.08225457584111e-06,0.45910870921874825,0.2037894253582757
193,07-12,100,-0.16476020738820446,0.03745805640863718,-4.398525262250756,3.0122184293287324e-05,0.4419731894924258,0.17856535124095463
200,07-19,100,-0.22435990481856,0.03165915205264595,-7.086731332711384,3.1062192443004873e-10,0.5657248976483911,0.36073211994865173
207,07-26,100,-0.14119420989143558,0.054362512503076034,-2.5972716011506325,0.010994607757094014,0.3685307134536939,0.0704555017267412
214,08-02,100,0.11952417302799027,0.05650392476157641,2.1153251483385214,0.037196470037893545,0.3531874521259437,0.047869693585883666
221,08-09,100,0.1782494824016574,0.04869692173304434,3.660385011168014,0.0004266281506650504,0.4095558756956319,0.13084595089859474
228,08-16,100,0.10042685851318972,0.04464854527535276,2.2492750411876945,0.026962205865713507,0.3572078016996846,0.05378778636889969
235,08-23,100,0.04909962121212154,0.03116496327861998,1.575475022163919,0.11869501018339082,0.3390998866374376,0.027132312888358823
242,08-30,100,-0.0820484300159661,0.036428473992059146,-2.2523158679073796,0.026761862183663634,0.3573013344358028,0.053925469771908485
249,09-06,100,-0.02876153005464479,0.023807518127559896,-1.2080860298222378,0.23021449072912442,0.33162837169052006,0.016133986032814573
256,09-13,100,0.005732872407291119,0.0287736378376787,0.1992404450084514,0.8425291462793604,0.3209709073195144,0.0004458320993213638
