feature,threshold_c,coef,stderr,pvalue,r2,adj_r2,n,mean_days,sd_days
tmax_days_ge_30p0,30.0,-0.010988791585793764,0.0029488083402087733,0.00023438712835977508,0.398462281141267,0.32194158192248823,320,25.66875,14.225114386546943
tmax_days_ge_32p0,32.0,-0.015291031588248814,0.00391172906465154,0.00011603625835944596,0.40127253004466035,0.3251093183188928,320,12.55625,11.624073428540457
tmax_days_ge_34p0,34.0,-0.01661757510193895,0.007572987538880191,0.029024995266766038,0.3795018821659297,0.30056925940258505,320,4.646875,6.61505286245248
tmax_days_ge_36p0,36.0,-0.01946503437155209,0.014890499646586279,0.1922019375463937,0.3727320845156924,0.2929382860795261,320,1.35,3.0588788488451493
