comarca,lat,lon
Alt Camp,41.328135896568604,1.3084205727600564
Alt Empordà,42.30472855943158,2.953673737893192
Alt Penedès,41.38779830259635,1.6970202718132141
Alt Urgell,42.272743193512454,1.3837101293515137
Alta Ribagorça,42.48676987218255,0.8237195137143144
Anoia,41.598035689307935,1.5831102402775175
Aran,42.72577529013097,0.8283296650290596
Bages,41.785664663550946,1.8055675434712926
Baix Camp,41.13812367103805,0.9841538638428455
Baix Ebre,40.8404157074079,0.561387348984153
Baix Empordà,41.95736758411656,3.0651078868292454
Baix Llobregat,41.397238684567796,1.9622871348394586
Baix Penedès,41.26806522179982,1.5163434775406084
Barcelonès,41.40837248125475,2.16438122016497
Berguedà,42.12417981126941,1.8500688221067616
Cerdanya,42.392182243587385,1.7910226770770894
Conca de Barberà,41.44305356006128,1.2068931829948688
Garraf,41.26221835272576,1.7777567708474644
Garrigues,41.438277767192915,0.8204247465864928
Garrotxa,42.18291791118352,2.5439771160010975
Gironès,41.966081443105544,2.8319880729247693
Lluçanès,42.01589378391873,2.0766616957289026
Maresme,41.60779254594992,2.5340504665073915
Moianès,41.79806038384534,2.083607087380993
Montsià,40.66639458397771,0.4956868819579098
Noguera,41.89787698105654,0.9167970758851935
Osona,41.96163446426141,2.292692798739523
Pallars Jussà,42.22160170033474,0.9249094038042757
Pallars Sobirà,42.54219041836323,1.1681339000894266
Pla d'Urgell,41.647294278960295,0.8727500236884762
Pla de l'Estany,42.12556007366646,2.786438321332022
Priorat,41.219746707192186,0.8106517202031226
Ribera d'Ebre,41.13251705339779,0.6166655786585554
Ripollès,42.28348585421022,2.226940856039594
Segarra,41.71083851364431,1.2948369455072126
Segrià,41.56218575458421,0.5315888967562917
Selva,41.843490581069545,2.6510272323211916
Solsonès,41.99241720961777,1.5054409464257672
Tarragonès,41.16392094082827,1.2843903716143794
Terra Alta,41.054430851121424,0.372327803452471
Urgell,41.645672468468504,1.0868091952806733
Vallès Occidental,41.564843983136555,2.0524220948939336
Vallès Oriental,41.665575232518655,2.341735895502676
