comarca,year,pheno_key,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Alt Camp,2016,olive,293.24812705852617,54.03116109328848,2.5076417172870156,23.766122441885592,13.452655503451098,1.6933698601347453,15,317.670932496999,49.49600603698376,2.796604443807024,28.98577694640461,18.542811231569143,2.1768131694594883,44,197.6645609022206,241.58441264377052,2.307052969189443,20.879357039427866,12.777283797952288,1.1284126772006764,7
Alt Camp,2017,olive,311.3019632020091,53.382970832525096,3.0466617874011157,25.52261605033006,14.847476554812676,1.929780447354841,25,319.59604167105334,62.7764065077253,2.9478946198421108,29.235064290323013,19.250644810168343,2.181227381023608,41,217.18833254339586,118.65803759686364,2.0203614964565015,20.909581165537773,11.698531625649103,1.2471251350688497,5
Alt Camp,2018,olive,267.66800976756514,181.6673554099743,2.322605647060648,23.414455523249824,13.995738998393197,1.471384895418107,10,299.3908681489747,164.27654077555977,3.120952392697519,29.083813851878432,19.22465128898072,2.051734436552037,33,195.62527329153593,338.29873334942477,2.020283761527897,20.529401728034394,12.716248702166418,1.046152974514311,5
Alt Camp,2019,olive,299.8123921999703,78.6443725981886,3.403325840063966,23.72805000865493,13.130651721750382,1.8126376984468746,17,312.50987442377294,97.16935123825706,3.0069559604110903,29.424636133935767,19.181976535376478,2.217154036918756,44,228.57733066091953,226.64671932919663,2.0738776474514067,20.73541335515297,12.57522730077226,1.2137216863417466,5
Alt Camp,2020,olive,266.74321775239594,147.65237092395623,2.0866838398017302,23.519656057823283,14.10303157276624,1.4433618944895965,6,317.30847875143445,96.60904931571325,3.13742642062117,29.179607353757504,18.99761922700941,2.247650821025801,43,225.71386205132282,141.55425495794827,2.0438471412098993,20.55946426127183,12.008569305046231,1.2484132264487173,4
Alt Camp,2021,olive,282.64783581456925,82.65016281457835,2.8551644489219283,23.588971113659074,14.048566559860449,1.6343841932695853,11,304.69783809643747,76.41887191232279,3.148859633871075,28.394699311505114,18.62770398749695,2.1171622272902533,36,201.95718277212595,251.94923557000524,1.726311452192861,20.05563292672616,12.368659951556321,1.0790016744361266,0
Alt Camp,2022,olive,312.2318009061444,89.87294610143978,3.265353802200817,25.76805032954457,15.209335718405285,1.9688024200561423,22,328.1736837263192,145.63299948253828,3.4082429975995745,30.141877047100532,19.61322266238857,2.4415337430618873,47,215.95577996817434,170.65055414578597,1.8044862860870876,21.708541296760078,13.86504711118986,1.1803969586058696,1
Alt Camp,2023,olive,267.27927521956,171.52805232852762,2.184741717473942,23.586721101363707,14.246765335947403,1.4872735859928599,9,317.2963009003658,81.14972872968364,3.427178081021365,29.43357609482745,19.854634754517626,2.192016174951975,35,255.2355849624441,96.41074422188709,2.2302712831910343,22.307210682217384,13.978938997374883,1.4047833162761576,9
Alt Camp,2024,olive,275.4245038344688,116.99826083212805,2.267300636099186,22.722094053912834,13.95502760733099,1.4412486138574732,8,313.44614214817324,78.98984109440319,3.4315982225493444,29.147907117483154,19.499498530777036,2.1799687037110194,32,204.69342460500084,344.719915440063,2.0785469954432227,20.171976021088764,13.09023203616796,1.046749376492539,4
Alt Empordà,2016,olive,292.95779674317805,97.98544750066073,2.595284975584857,23.314395193166575,14.993039874774201,1.5810028563360226,13,398.4888745020047,14.231122814299397,3.4451318104649014,29.978479789841447,20.420127064999015,2.632218674349818,56,253.0216089497166,219.51438512655704,2.882590137480933,21.55282373026591,13.69853163169538,1.3886641875636587,18
