comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,pre_flower_mean_vpd,pre_flower_max_vpd,pre_flower_n_days_vpd_gt2,pre_flower_cum_et0,pre_flower_mean_tmax,pre_flower_mean_tmin,pre_flower_cum_precip,flower_set_mean_vpd,flower_set_max_vpd,flower_set_n_days_vpd_gt2,flower_set_cum_et0,flower_set_mean_tmax,flower_set_mean_tmin,flower_set_cum_precip,fruit_dev_mean_vpd,fruit_dev_max_vpd,fruit_dev_n_days_vpd_gt2,fruit_dev_cum_et0,fruit_dev_mean_tmax,fruit_dev_mean_tmin,fruit_dev_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,fruit_fill_mean_vpd,fruit_fill_max_vpd,fruit_fill_n_days_vpd_gt2,fruit_fill_cum_et0,fruit_fill_mean_tmax,fruit_fill_mean_tmin,fruit_fill_cum_precip,cell_div_mean_vpd,cell_div_max_vpd,cell_div_n_days_vpd_gt2,cell_div_cum_et0,cell_div_mean_tmax,cell_div_mean_tmin,cell_div_cum_precip,cell_exp_mean_vpd,cell_exp_max_vpd,cell_exp_n_days_vpd_gt2,cell_exp_cum_et0,cell_exp_mean_tmax,cell_exp_mean_tmin,cell_exp_cum_precip,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,harvest_mean_vpd,harvest_max_vpd,harvest_n_days_vpd_gt2,harvest_cum_et0,harvest_mean_tmax,harvest_mean_tmin,harvest_cum_precip,kernel_fill_mean_vpd,kernel_fill_max_vpd,kernel_fill_n_days_vpd_gt2,kernel_fill_cum_et0,kernel_fill_mean_tmax,kernel_fill_mean_tmin,kernel_fill_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip,fill_mean_vpd,fill_max_vpd,fill_n_days_vpd_gt2,fill_cum_et0,fill_mean_tmax,fill_mean_tmin,fill_cum_precip,bud_break_mean_vpd,bud_break_max_vpd,bud_break_n_days_vpd_gt2,bud_break_cum_et0,bud_break_mean_tmax,bud_break_mean_tmin,bud_break_cum_precip,flower_veraison_mean_vpd,flower_veraison_max_vpd,flower_veraison_n_days_vpd_gt2,flower_veraison_cum_et0,flower_veraison_mean_tmax,flower_veraison_mean_tmin,flower_veraison_cum_precip,veraison_harvest_mean_vpd,veraison_harvest_max_vpd,veraison_harvest_n_days_vpd_gt2,veraison_harvest_cum_et0,veraison_harvest_mean_tmax,veraison_harvest_mean_tmin,veraison_harvest_cum_precip,season_mean_vpd,season_max_vpd,season_n_days_vpd_gt2,season_cum_et0,season_mean_tmax,season_mean_tmin,season_cum_precip
Alt Empordà,2015,Albercoquer,stone_fruit,apricot,2.0,6.24,,,,,,,,,,,,,,,,,,,,,,1.4360194312137682,2.0796348853829025,4.0,260.6483047434262,21.093296674598875,10.808654041870996,73.51642759796233,,,,,,,,,,,,,,,,,,,,,,0.7871837456629577,1.4499489266495358,0.0,119.28269139357974,13.079278712238027,4.349803963354101,144.16785663672323,2.5451397948937817,3.787938298344989,47.0,355.84257619721546,29.653945072361708,19.08744026559301,74.14500026165373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2015,Ametller,nut,almond,6.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7871837456629577,1.4499489266495358,0.0,119.28269139357974,13.079278712238027,4.349803963354101,144.16785663672323,,,,,,,,1.7289142728521991,2.900584071383644,25.0,430.5465731535639,23.421517489207247,12.923448887799582,114.1821420277868,2.404854001083394,3.783847870351919,44.0,330.77860260009766,29.77249315674956,19.710229316395026,88.75357106075222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2015,Avellaner,nut,hazelnut,4.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7871837456629577,1.4499489266495358,0.0,119.28269139357974,13.079278712238027,4.349803963354101,144.16785663672323,,,,,,,,,,,,,,,1.8855312520422547,2.4650814903347062,27.0,254.8375149028642,26.358502290176304,16.834905984418477,167.32071363792886,1.9905796130537747,3.453892281829456,51.0,616.4908809406415,25.37362087348029,14.948047153732002,147.66142785961608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2015,Cirerer i guinder,stone_fruit,cherry,4.0,1.66,0.7276607244113351,1.0849054516887435,0.0,87.0020411142281,11.515291479078414,2.332818566569427,61.03357126217868,1.031066130051894,1.5797259955373315,0.0,176.0928427236421,17.02729837386337,7.461734716339492,154.6649989501706,1.9920689028167768,2.989280836999997,25.0,324.5390118786267,25.6156465838609,15.024788285195152,66.60285698822032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2015,Noguera,nut,walnut,8.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4360194312137682,2.0796348853829025,4.0,260.6483047434262,21.093296674598875,10.808654041870996,73.51642759796233,,,,,,,,,,,,,,,1.405424240198293,2.1952023397467504,9.0,176.41157744186268,22.06008872539156,13.209918170008804,143.1742856426697,2.3786408868769646,3.5802146601652765,65.0,500.6768710102354,29.245234457454345,18.89934967230568,129.4192854905767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Vinya de raïm per a vi,vine,vine,16666.0,10.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1071875298676457,1.8461185180391717,2.0,190.699177145958,17.352307114612326,7.633221349783211,88.33000055753759,2.121976039229086,3.1468401752376973,49.0,502.4537713187081,27.24381963125669,16.595881927679805,92.39285669821712,1.4414733521762504,2.167707048822495,6.0,226.3113053185599,25.28034166251192,17.122588439512608,248.45000108810407,,,,,,,
Alt Penedès,2015,Olivera per a oliva d'oli,olive,olive,795.0,1.3,,,,,,,,,,,,,,,,,,,,,,1.9716051736457263,3.1412117372019392,28.0,310.893611397062,28.758124932495704,19.602104939403645,137.4628568488572,,,,,,,,,,,,,,,,,,,,,,2.041282732780717,2.91709066546594,27.0,328.1927620683398,25.78792324378845,14.64116270972082,48.02714268038315,,,,,,,,,,,,,,,1.0034884379288038,1.6371188444746985,0.0,192.5684193287577,19.894198028708203,11.734354188640625,293.62428521285096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Albercoquer,stone_fruit,apricot,1.0,8.8,,,,,,,,,,,,,,,,,,,,,,1.5464171694646751,2.487996427337227,12.0,266.3912373610906,21.50525671358133,10.750494399059596,41.907143087525455,,,,,,,,,,,,,,,,,,,,,,0.9291877012379216,1.8059755391336625,2.0,140.20691466331485,14.106038416384516,4.775562823944483,79.40285720197217,2.2313490569923995,3.2563298047041838,37.0,342.36592902456005,28.74696865394469,18.57652190518884,80.62857100793292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Ametller,nut,almond,71.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9291877012379216,1.8059755391336625,2.0,140.20691466331485,14.106038416384516,4.775562823944483,79.40285720197217,,,,,,,,1.7553867132354877,2.828792376587793,27.0,434.4961571352823,23.42876548587436,12.694920686874532,78.1700000776244,1.9716051736457263,3.1412117372019392,28.0,310.893611397062,28.758124932495704,19.602104939403645,137.4628568488572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Cirerer i guinder,stone_fruit,cherry,27.0,1.9,0.755913046062047,1.1066450161130816,0.0,96.5075775044305,11.86414109200025,2.51182658862839,37.071428342323216,1.1071875298676457,1.8461185180391717,2.0,190.699177145958,17.352307114612326,7.633221349783211,88.33000055753759,2.041282732780717,2.91709066546594,27.0,328.1927620683398,25.78792324378845,14.64116270972082,48.02714268038315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Noguera,nut,walnut,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5464171694646751,2.487996427337227,12.0,266.3912373610906,21.50525671358133,10.750494399059596,41.907143087525455,,,,,,,,,,,,,,,1.0676915239675844,1.694177758703388,0.0,148.66955587693627,21.38301730368123,13.731321498325917,243.4071428307465,2.0396550470991217,3.1468401752376973,43.0,478.9985311712538,28.295660277183035,18.639001417456228,173.72571383895618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Perera,pome_fruit,pome_fruit,1.0,7.3,1.1071875298676457,1.8461185180391717,2.0,190.699177145958,17.352307114612326,7.633221349783211,88.33000055753759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041282732780717,2.91709066546594,27.0,328.1927620683398,25.78792324378845,14.64116270972082,48.02714268038315,1.7242763412196027,2.980090821983891,28.0,400.5723145689283,26.907270974105955,18.24117507460697,292.815715105938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Pomera,pome_fruit,pome_fruit,1.0,11.1,1.1071875298676457,1.8461185180391717,2.0,190.699177145958,17.352307114612326,7.633221349783211,88.33000055753759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041282732780717,2.91709066546594,27.0,328.1927620683398,25.78792324378845,14.64116270972082,48.02714268038315,1.7242763412196027,2.980090821983891,28.0,400.5723145689283,26.907270974105955,18.24117507460697,292.815715105938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Presseguer,stone_fruit,stone_fruit,75.0,7.1,0.9291877012379216,1.8059755391336625,2.0,140.20691466331485,14.106038416384516,4.775562823944483,79.40285720197217,,,,,,,,,,,,,,,1.5464171694646751,2.487996427337227,12.0,266.3912373610906,21.50525671358133,10.750494399059596,41.907143087525455,2.0396550470991217,3.1468401752376973,43.0,478.9985311712538,28.295660277183035,18.639001417456228,173.72571383895618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Penedès,2015,Pruner,stone_fruit,stone_fruit,2.0,5.2,0.9291877012379216,1.8059755391336625,2.0,140.20691466331485,14.106038416384516,4.775562823944483,79.40285720197217,,,,,,,,,,,,,,,1.5464171694646751,2.487996427337227,12.0,266.3912373610906,21.50525671358133,10.750494399059596,41.907143087525455,2.0396550470991217,3.1468401752376973,43.0,478.9985311712538,28.295660277183035,18.639001417456228,173.72571383895618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Urgell,2015,Vinya de raïm per a vi,vine,vine,15.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8955339810784575,1.4616432127544077,0.0,149.13193873447534,12.54052918598762,0.6127481664733231,109.3882357927368,1.7843870981523111,2.851277964322465,33.0,417.6711316880058,22.7941978864353,10.431650014423676,188.20823466481968,1.3266452513610398,1.9887731184201851,2.0,199.5024314137066,20.93605665686968,10.434648051395277,195.40882329346945,,,,,,,
Alt Urgell,2015,Olivera per a oliva d'oli,olive,olive,124.0,0.74,,,,,,,,,,,,,,,,,,,,,,1.8700350086696864,2.973981429372313,23.0,277.74842048392577,24.989240416901414,13.337528994594647,165.0052934301031,,,,,,,,,,,,,,,,,,,,,,1.5610329962285834,2.401646586357756,12.0,261.7386209894629,20.762571140977222,8.405595964452017,125.32470522952433,,,,,,,,,,,,,,,0.9464291785534522,1.4871808802713824,0.0,156.90046863520843,15.579920064855894,5.0314214192287725,243.5288237608312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Urgell,2015,Ametller,nut,almond,8.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6463941433239473,1.270402149993716,0.0,92.2388346984106,7.947044559680356,-2.1987871407749178,107.6494114816408,,,,,,,,1.376510898455782,2.31973788382656,12.0,349.63295219225034,18.619797563707,6.1990227944017375,184.62529404603825,1.8700350086696864,2.973981429372313,23.0,277.74842048392577,24.989240416901414,13.337528994594647,165.0052934301031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Urgell,2015,Perera,pome_fruit,pome_fruit,3.0,6.72,0.8955339810784575,1.4616432127544077,0.0,149.13193873447534,12.54052918598762,0.6127481664733231,109.3882357927368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5610329962285834,2.401646586357756,12.0,261.7386209894629,20.762571140977222,8.405595964452017,125.32470522952433,1.6289778325336135,2.8501596878649926,23.0,355.4349421122496,22.90922632632051,11.776999767723003,258.29235272876485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Urgell,2015,Pomera,pome_fruit,pome_fruit,20.0,14.0,0.8955339810784575,1.4616432127544077,0.0,149.13193873447534,12.54052918598762,0.6127481664733231,109.3882357927368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5610329962285834,2.401646586357756,12.0,261.7386209894629,20.762571140977222,8.405595964452017,125.32470522952433,1.6289778325336135,2.8501596878649926,23.0,355.4349421122496,22.90922632632051,11.776999767723003,258.29235272876485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
