feature,threshold_kpa,coef,stderr,pvalue,r2,adj_r2,n,mean_days,sd_days
vpd_days_ge_2p0,2.0,-0.0049178303687808424,0.003528609942514262,0.16450110874492177,0.3732463340238159,0.2935179524862095,320,40.040625,13.58988097121944
vpd_days_ge_2p5,2.5,-0.004998760610331689,0.0031817594368239886,0.11728418340925181,0.37440085233000153,0.29481933531190985,320,24.78125,16.004964698003118
vpd_days_ge_3p0,3.0,-0.009185698233106342,0.004083602808036601,0.025255146403797345,0.3800291885607707,0.3011636436427062,320,13.2375,13.449773045829659
vpd_days_ge_3p5,3.5,-0.013817452488483636,0.006311692450514071,0.029400308846972114,0.37945331452762066,0.3005145135488021,320,6.2125,8.833455569825166
