comarca,year,pheno_key,pre_flower_mean_vpd,pre_flower_max_vpd,pre_flower_n_days_vpd_gt2,pre_flower_cum_et0,pre_flower_mean_tmax,pre_flower_mean_tmin,pre_flower_cum_precip,flower_set_mean_vpd,flower_set_max_vpd,flower_set_n_days_vpd_gt2,flower_set_cum_et0,flower_set_mean_tmax,flower_set_mean_tmin,flower_set_cum_precip,fruit_dev_mean_vpd,fruit_dev_max_vpd,fruit_dev_n_days_vpd_gt2,fruit_dev_cum_et0,fruit_dev_mean_tmax,fruit_dev_mean_tmin,fruit_dev_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,fruit_fill_mean_vpd,fruit_fill_max_vpd,fruit_fill_n_days_vpd_gt2,fruit_fill_cum_et0,fruit_fill_mean_tmax,fruit_fill_mean_tmin,fruit_fill_cum_precip,cell_div_mean_vpd,cell_div_max_vpd,cell_div_n_days_vpd_gt2,cell_div_cum_et0,cell_div_mean_tmax,cell_div_mean_tmin,cell_div_cum_precip,cell_exp_mean_vpd,cell_exp_max_vpd,cell_exp_n_days_vpd_gt2,cell_exp_cum_et0,cell_exp_mean_tmax,cell_exp_mean_tmin,cell_exp_cum_precip,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,harvest_mean_vpd,harvest_max_vpd,harvest_n_days_vpd_gt2,harvest_cum_et0,harvest_mean_tmax,harvest_mean_tmin,harvest_cum_precip,kernel_fill_mean_vpd,kernel_fill_max_vpd,kernel_fill_n_days_vpd_gt2,kernel_fill_cum_et0,kernel_fill_mean_tmax,kernel_fill_mean_tmin,kernel_fill_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip,fill_mean_vpd,fill_max_vpd,fill_n_days_vpd_gt2,fill_cum_et0,fill_mean_tmax,fill_mean_tmin,fill_cum_precip,bud_break_mean_vpd,bud_break_max_vpd,bud_break_n_days_vpd_gt2,bud_break_cum_et0,bud_break_mean_tmax,bud_break_mean_tmin,bud_break_cum_precip,flower_veraison_mean_vpd,flower_veraison_max_vpd,flower_veraison_n_days_vpd_gt2,flower_veraison_cum_et0,flower_veraison_mean_tmax,flower_veraison_mean_tmin,flower_veraison_cum_precip,veraison_harvest_mean_vpd,veraison_harvest_max_vpd,veraison_harvest_n_days_vpd_gt2,veraison_harvest_cum_et0,veraison_harvest_mean_tmax,veraison_harvest_mean_tmin,veraison_harvest_cum_precip,season_mean_vpd,season_max_vpd,season_n_days_vpd_gt2,season_cum_et0,season_mean_tmax,season_mean_tmin,season_cum_precip
Alt Empordà,2015,cherry,0.7276607244113351,1.0849054516887435,0.0,87.0020411142281,11.515291479078414,2.332818566569427,61.033571262178675,1.031066130051894,1.5797259955373317,0.0,176.0928427236421,17.02729837386337,7.461734716339492,154.6649989501706,1.9920689028167766,2.989280836999997,25.0,324.5390118786267,25.6156465838609,15.024788285195152,66.60285698822032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2016,cherry,0.7134118406893982,1.1080311501891023,0.0,78.65063616633417,13.400191788446358,4.493081229073683,127.1321429297594,1.0304509063922245,1.568862837046124,0.0,183.83404446925434,16.28823538786915,6.884275528418678,137.23285779410173,1.5442009309410383,2.5657462356143363,13.0,270.5464173001902,22.99830810403938,13.560724520180788,169.690000731365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2017,cherry,0.6439157477144786,1.0291527358456334,0.0,78.42341939253467,11.866521943394865,3.5404633455068897,218.85928525097137,1.1789577550363013,1.6603645105086742,0.0,192.24608329789976,18.29248176235228,7.361371085459533,125.277142446089,1.830057204681831,2.9855154303910334,24.0,296.40167456013813,25.370891676462804,15.304048103136004,104.96571467949876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2018,cherry,0.6496178906266824,1.0388582976652838,0.0,73.61692901381426,11.486804206608015,3.1475885423563525,134.15642852203123,1.0112397418426646,1.6316027274813731,0.0,174.90277886390683,16.82891281806894,7.210204334839748,201.07000032572876,1.7113397391556882,2.739785152516917,19.0,286.7979489394597,24.214014743921098,14.748919634852555,143.65142900390285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2019,cherry,0.7994796596600307,1.3712810852320694,0.0,87.27703310762132,12.731749705021397,2.8619380258186324,35.08714286650398,1.1247808881126606,1.6961735294741855,1.0,189.62244046585903,17.223503459421224,7.217771479229202,82.42285628270889,1.8043183071716868,3.4167381883364873,17.0,305.45273054497585,23.612551801266125,13.197441840786027,109.04142820994768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2020,cherry,0.7552345155603369,1.2717908015493158,0.0,75.6990838944912,14.044595700218586,4.817005775088379,229.67285736650229,0.8440790408168032,1.2510318866939125,0.0,149.86876719764297,16.07531299457061,7.877805015689058,251.59857030079834,1.4807438036839093,2.302801093454732,8.0,263.51239999703,23.571262554374194,14.617474386675319,177.0464287900499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2021,cherry,0.6180421670577161,0.9192978712725481,0.0,69.01077769058091,11.945184917311424,3.738655027523479,92.78142860012926,0.9286684295367582,1.3834571258263806,0.0,170.97363077742713,15.565869483679764,6.467074399139643,84.194286142742,1.6710802937715583,2.8750260625296247,17.0,276.45197675909316,23.787473734871313,14.46033122935956,126.16785718301047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2022,cherry,0.8358148136382705,1.1976853738545041,0.0,82.14420717528888,13.360321739510843,2.7421188834793275,39.37785691288965,0.8631378174079618,1.6252338557597448,1.0,158.71514814666338,15.54145920907588,7.515509976603689,238.07857087533924,2.0938062951928833,3.260732835368558,31.0,330.4361266323498,26.67332441343359,16.06115576857987,74.66214227263947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2023,cherry,0.7730093261356502,1.3570078732868842,0.0,86.80625283718109,12.276724708686464,2.8613299649218034,77.57428527077927,1.2032632645170855,1.7061601109024989,0.0,186.09891207729066,18.389935467114796,7.780367320147856,78.09714266697743,1.9501373482444517,3.0963830263520413,24.0,309.99085547242845,25.315551479080547,15.209720770592455,118.40142835277531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2024,cherry,0.8453589193238381,1.401317689471606,0.0,88.33170066986764,14.393567257835773,5.428572627476307,96.70785710867494,1.1431345072499264,1.9770943849210585,3.0,195.68848467724658,17.756527552727537,8.496639464331478,140.975715536092,1.4872806174749829,2.3295139410803296,8.0,265.9047083854676,22.888396866595187,13.972977227740346,204.07071559570198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
