,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.017,0.165,-0.246,0.297,0.003,0.002,3317.0,4221.0,1.0
beta0,-0.006,0.091,-0.155,0.141,0.002,0.001,3501.0,4485.0,1.0
beta1,0.014,0.059,-0.08,0.115,0.001,0.001,2979.0,3816.0,1.0
beta_coefs[0],-0.006,0.091,-0.155,0.141,0.002,0.001,3501.0,4485.0,1.0
beta_coefs[1],0.014,0.059,-0.08,0.115,0.001,0.001,2979.0,3816.0,1.0
beta_coefs[2],0.032,0.059,-0.064,0.128,0.001,0.001,4263.0,4858.0,1.0
beta_coefs[3],0.06,0.067,-0.048,0.168,0.001,0.001,5871.0,5533.0,1.0
beta_coefs[4],0.11,0.107,-0.051,0.294,0.002,0.001,4948.0,5735.0,1.0
lag_coef,-0.461,0.283,-0.906,0.016,0.006,0.003,2593.0,4940.0,1.0
rw2_innovations[0],-0.003,0.086,-0.144,0.134,0.001,0.002,4869.0,2811.0,1.0
rw2_innovations[1],0.012,0.081,-0.115,0.147,0.001,0.002,4790.0,2835.0,1.0
rw2_innovations[2],0.021,0.089,-0.113,0.167,0.001,0.002,5019.0,3514.0,1.0
sigma,0.235,0.083,0.121,0.355,0.002,0.002,1730.0,2245.0,1.0
sigma_smooth,0.075,0.057,0.002,0.155,0.002,0.001,1084.0,1569.0,1.0
sigma_year,0.459,0.173,0.184,0.732,0.004,0.003,1692.0,1813.0,1.0
year_raw[0],0.157,0.535,-0.704,1.023,0.008,0.008,4162.0,3890.0,1.0
year_raw[1],-1.075,0.699,-2.227,0.061,0.011,0.009,4329.0,4347.0,1.0
year_raw[2],0.084,0.642,-0.975,1.134,0.01,0.008,4107.0,5171.0,1.0
year_raw[3],0.874,0.75,-0.443,2.015,0.012,0.009,3892.0,3280.0,1.0
year_raw[4],0.368,0.77,-0.897,1.62,0.012,0.009,4334.0,5269.0,1.0
year_raw[5],-0.611,0.667,-1.746,0.405,0.01,0.009,4637.0,4397.0,1.0
year_raw[6],1.045,0.704,-0.12,2.181,0.011,0.01,4197.0,4016.0,1.0
year_raw[7],-0.844,0.664,-1.939,0.229,0.011,0.009,3720.0,4245.0,1.0
year_re[2017],0.068,0.225,-0.276,0.463,0.003,0.003,4241.0,5487.0,1.0
year_re[2018],-0.453,0.282,-0.91,0.011,0.005,0.003,3737.0,4712.0,1.0
year_re[2019],0.037,0.282,-0.394,0.527,0.004,0.003,3942.0,4968.0,1.0
year_re[2020],0.389,0.342,-0.17,0.933,0.006,0.004,2964.0,4477.0,1.0
year_re[2021],0.142,0.342,-0.389,0.72,0.005,0.004,4919.0,5119.0,1.0
year_re[2022],-0.271,0.298,-0.738,0.226,0.005,0.003,3581.0,5358.0,1.0
year_re[2023],0.479,0.336,-0.075,1.01,0.006,0.004,2666.0,4600.0,1.0
year_re[2024],-0.391,0.312,-0.888,0.115,0.006,0.004,2309.0,4655.0,1.0
