,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.045,0.101,-0.114,0.198,0.002,0.003,3727.0,2725.0,1.0
beta0,0.029,0.069,-0.088,0.133,0.002,0.001,2015.0,2652.0,1.0
beta1,0.073,0.052,-0.017,0.15,0.001,0.001,1480.0,2011.0,1.0
beta_coefs[0],0.029,0.069,-0.088,0.133,0.002,0.001,2015.0,2652.0,1.0
beta_coefs[1],0.073,0.052,-0.017,0.15,0.001,0.001,1480.0,2011.0,1.0
beta_coefs[2],0.097,0.047,0.022,0.177,0.001,0.001,2465.0,2443.0,1.0
beta_coefs[3],0.122,0.049,0.04,0.198,0.001,0.001,3741.0,3933.0,1.0
beta_coefs[4],0.159,0.07,0.053,0.275,0.001,0.001,5668.0,5152.0,1.0
lag_coef,-0.769,0.242,-1.159,-0.397,0.007,0.005,1495.0,2020.0,1.0
rw2_innovations[0],-0.02,0.082,-0.146,0.098,0.002,0.003,3467.0,1909.0,1.0
rw2_innovations[1],0.001,0.067,-0.107,0.102,0.001,0.002,3976.0,2660.0,1.0
rw2_innovations[2],0.013,0.079,-0.101,0.146,0.001,0.003,4061.0,2463.0,1.0
sigma,0.238,0.063,0.141,0.332,0.001,0.001,2369.0,2628.0,1.0
sigma_smooth,0.066,0.053,0.001,0.141,0.002,0.001,789.0,1038.0,1.0
sigma_year,0.181,0.162,0.0,0.41,0.005,0.004,1145.0,1968.0,1.0
year_raw[0],0.157,0.863,-1.247,1.615,0.012,0.011,5357.0,5460.0,1.0
year_raw[1],0.101,0.814,-1.35,1.369,0.011,0.011,5650.0,5368.0,1.0
year_raw[2],-0.064,0.841,-1.407,1.333,0.011,0.01,5495.0,5518.0,1.0
year_raw[3],0.445,0.948,-1.167,1.967,0.015,0.011,3901.0,4405.0,1.0
year_raw[4],-0.038,0.936,-1.588,1.476,0.012,0.01,6514.0,5385.0,1.0
year_raw[5],-0.345,0.853,-1.734,1.042,0.013,0.011,4301.0,4726.0,1.0
year_raw[6],0.401,0.918,-1.027,1.99,0.016,0.011,3300.0,4511.0,1.0
year_raw[7],-0.615,0.932,-2.098,0.967,0.018,0.011,2735.0,4516.0,1.0
year_re[2016],0.036,0.162,-0.194,0.315,0.003,0.004,4342.0,3623.0,1.0
year_re[2017],0.013,0.132,-0.195,0.226,0.002,0.003,4665.0,3969.0,1.0
year_re[2019],-0.016,0.155,-0.278,0.227,0.002,0.004,4248.0,3030.0,1.0
year_re[2020],0.112,0.224,-0.176,0.508,0.006,0.006,1999.0,2231.0,1.0
year_re[2021],-0.015,0.2,-0.328,0.315,0.003,0.006,5626.0,3495.0,1.0
year_re[2022],-0.086,0.179,-0.401,0.156,0.004,0.005,2241.0,2549.0,1.0
year_re[2023],0.112,0.22,-0.167,0.479,0.006,0.006,1714.0,2036.0,1.0
year_re[2024],-0.156,0.238,-0.57,0.123,0.007,0.006,1487.0,2003.0,1.0
