stage,doy_start,doy_end,beta_wd_state,beta_vpd
S_pre,1.0,71.0,0.0018167520349448433,-0.008461867875664789
S5,72.0,138.0,0.0005974817478872304,-0.001444476811335267
S6,139.0,173.0,0.00012760432848044802,-0.0005126147654767976
S7,174.0,299.0,-0.0005153421399360629,9.102370285534775e-05
S8,300.0,327.0,-0.0015323678545951173,0.0024058465818483387
S7_minus_S6,,,-0.0006429464684165109,0.0006036384683321454
