,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.035,0.032,-0.087,0.019,0.0,0.0,4615.0,4761.0,1.0
beta0,0.126,0.039,0.063,0.19,0.001,0.001,2113.0,3154.0,1.0
beta1,0.04,0.034,-0.019,0.087,0.001,0.001,2488.0,2115.0,1.0
beta_coefs[0],0.126,0.039,0.063,0.19,0.001,0.001,2113.0,3154.0,1.0
beta_coefs[1],0.04,0.034,-0.019,0.087,0.001,0.001,2488.0,2115.0,1.0
beta_coefs[2],-0.009,0.033,-0.066,0.038,0.001,0.001,3348.0,3591.0,1.0
beta_coefs[3],-0.034,0.033,-0.085,0.017,0.001,0.001,3426.0,2420.0,1.0
beta_coefs[4],-0.067,0.039,-0.129,-0.002,0.001,0.001,5286.0,4649.0,1.0
rw2_innovations[0],0.037,0.088,-0.094,0.176,0.002,0.003,2341.0,1918.0,1.0
rw2_innovations[1],0.024,0.071,-0.078,0.14,0.001,0.002,3443.0,2898.0,1.0
rw2_innovations[2],-0.008,0.085,-0.136,0.13,0.002,0.003,3398.0,2367.0,1.0
sigma,0.392,0.024,0.354,0.431,0.0,0.0,4122.0,4276.0,1.0
sigma_smooth,0.074,0.055,0.002,0.151,0.002,0.001,891.0,1085.0,1.0
