,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.041,0.047,-0.117,0.038,0.001,0.001,5807.0,4705.0,1.0
beta0,0.124,0.05,0.045,0.207,0.001,0.001,2158.0,3183.0,1.0
beta1,0.038,0.035,-0.02,0.09,0.001,0.001,2984.0,2756.0,1.0
beta_coefs[0],0.124,0.05,0.045,0.207,0.001,0.001,2158.0,3183.0,1.0
beta_coefs[1],0.038,0.035,-0.02,0.09,0.001,0.001,2984.0,2756.0,1.0
beta_coefs[2],-0.022,0.04,-0.088,0.037,0.001,0.001,2511.0,3248.0,1.0
beta_coefs[3],-0.046,0.036,-0.102,0.013,0.001,0.001,4360.0,3437.0,1.0
beta_coefs[4],-0.046,0.054,-0.134,0.039,0.001,0.001,3170.0,4450.0,1.0
rw2_innovations[0],0.026,0.087,-0.101,0.181,0.002,0.002,2531.0,2439.0,1.0
rw2_innovations[1],0.036,0.077,-0.075,0.168,0.001,0.002,3267.0,2661.0,1.0
rw2_innovations[2],0.024,0.092,-0.1,0.199,0.002,0.003,3880.0,2765.0,1.0
sigma,0.42,0.035,0.36,0.474,0.001,0.0,4796.0,5027.0,1.0
sigma_smooth,0.08,0.056,0.001,0.155,0.002,0.001,933.0,1073.0,1.0
