doy,beta_wd_state,beta_vpd
1,0.002600177371282689,-0.015131165122311212
2,0.0025723945044891726,-0.014853756845255427
3,0.0025447789341140627,-0.01457977937247881
4,0.002517329923495402,-0.014309211430358586
5,0.0024900467359712346,-0.014042031745271985
6,0.0024629286348796025,-0.013778219043596236
7,0.0024359748835585506,-0.013517752051708574
8,0.002409184745346121,-0.013260609495986226
9,0.002382557483580358,-0.013006770102806427
10,0.0023560923615993028,-0.012756212598546398
11,0.0023297886427410004,-0.012508915709583379
12,0.0023036455903434946,-0.0122648581622946
13,0.002277662467744827,-0.012024018683057285
14,0.0022518385382830413,-0.011786375998248668
15,0.002226173065296182,-0.011551908834245984
16,0.0022006653121222908,-0.011320595917426457
17,0.002175314542099412,-0.011092415974167321
18,0.002150120018565588,-0.010867347730845802
19,0.002125081004858862,-0.01064536991383913
20,0.002100196764317279,-0.010426461249524547
21,0.00207546656027888,-0.01021060046427927
22,0.0020508896560817095,-0.009997766284480535
23,0.002026465315063811,-0.009787937436505575
24,0.002002192800563227,-0.009581092646731616
25,0.0019780713759180004,-0.009377210641535889
26,0.0019541003044661756,-0.009176270147295627
27,0.0019302788495457956,-0.008978249890388059
28,0.0019066062744949029,-0.008783128597190415
29,0.0018830818426515419,-0.008590884994079928
30,0.0018597048173537548,-0.008401497807433827
31,0.0018364744619395854,-0.008214945763629338
32,0.0018133900397470767,-0.0080312075890437
33,0.001790450814114272,-0.007850262010054135
34,0.001767656048379215,-0.007672087753037879
35,0.0017450050058799482,-0.00749666354437216
36,0.0017224969499545155,-0.00732396811043421
37,0.0017001311439409604,-0.00715398017760126
38,0.0016779068511773246,-0.006986678472250536
39,0.0016558233350016534,-0.006822041720759275
40,0.0016338798587519888,-0.006660048649504701
41,0.0016120756857663744,-0.0065006779848640495
42,0.0015904100793828534,-0.006343908453214549
43,0.0015688823029394693,-0.006189718780933431
44,0.0015474916197742647,-0.006038087694397921
45,0.0015262372932252836,-0.005888993919985257
46,0.0015051185866305692,-0.005742416184072666
47,0.001484134763328164,-0.005598333213037377
48,0.001463285086656112,-0.005456723733256621
49,0.0014425688199524566,-0.005317566471107632
50,0.0014219852265552405,-0.005180840152967636
51,0.0014015335698025066,-0.005046523505213864
52,0.0013812131130322993,-0.004914595254223552
53,0.0013610231195826613,-0.004785034126373923
54,0.0013409628527916353,-0.004657818848042209
55,0.0013210315759972654,-0.004532928145605643
56,0.0013012285525375949,-0.004410340745441457
57,0.0012815530457506658,-0.0042900353739268775
58,0.001262004318974523,-0.004171990757439136
59,0.0012425816355472088,-0.004056185622355463
60,0.0012232842588067666,-0.00394259869505309
61,0.0012041114520912402,-0.0038312087019092477
62,0.0011850624787386722,-0.003721994369301165
63,0.0011661366020871058,-0.0036149344236060727
64,0.0011473330854745844,-0.003510007591201201
65,0.001128651192239152,-0.0034071925984637823
66,0.0011100901857188507,-0.003306468171771045
67,0.0010916493292517245,-0.003207813037500221
68,0.0010733278861758161,-0.003111205922028539
69,0.0010551251198291694,-0.003016625551733231
70,0.0010370402935498276,-0.0029240506529915273
71,0.0010190726706758334,-0.0028334599521806576
72,0.0010012215145452303,-0.0027448321756778525
73,0.000983486088496062,-0.0026581460498603434
74,0.0009658656558663712,-0.00257338030110536
75,0.0009483594799942015,-0.0024905136557901338
76,0.0009309668242175956,-0.002409524840291892
77,0.0009136869518745976,-0.0023303925809878695
78,0.0008965191263032502,-0.002253095604255294
79,0.0008794626108415968,-0.002177612636471396
80,0.0008625166688276807,-0.002103922404013408
81,0.0008456805635995449,-0.0020320036332585577
82,0.0008289535584952329,-0.001961835050584077
83,0.0008123349168527881,-0.0018933953823671965
84,0.0007958239020102536,-0.0018266633549851468
85,0.0007794197773056725,-0.0017616176948151577
86,0.0007631218060770884,-0.0016982371282344602
87,0.000746929251662544,-0.0016365003816202841
88,0.0007308413774000834,-0.0015763861813498608
89,0.0007148574466277488,-0.0015178732538004198
90,0.0006989767226835845,-0.0014609403253491924
91,0.0006831984689056333,-0.0014055661223734087
92,0.0006675219486319381,-0.001351729371250299
93,0.0006519464252005426,-0.0012994087983570935
94,0.0006364711619494903,-0.0012485831300710236
95,0.0006210954222168238,-0.0011992310927693187
96,0.0006058184693405867,-0.00115133141282921
97,0.0005906395666588225,-0.0011048628166279281
98,0.0005755579775095739,-0.001059804030542703
99,0.0005605729652308847,-0.0010161337809507648
100,0.0005456837931607976,-0.0009738307942293446
101,0.0005308897246373565,-0.0009328737967556728
102,0.0005161900229986044,-0.0008932415149069797
103,0.0005015839515825841,-0.0008549126750604959
104,0.0004870707737273397,-0.0008178660035934516
105,0.00047264975277091386,-0.0007820802268830777
106,0.0004583201520513498,-0.0007475340713066042
107,0.0004440812349066911,-0.0007142062632412619
108,0.0004299322646749807,-0.0006820755290642811
109,0.0004158725046942624,-0.0006511205951528922
110,0.000401901218302579,-0.0006213201878843257
