cohort,model,complexity,pooled_loyo_rmse,pooled_loyo_r2,n_obs,n_folds,note
arbequina,fpls,k=1,0.45707401838110184,-0.07747192470585818,90,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
arbequina,bayesian_baseline,n_basis=5 (RW2),0.4727829321272203,-0.15280664654352605,90,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
