cohort,model,complexity,pooled_loyo_rmse,pooled_loyo_r2,n_obs,n_folds,note
all_olive,fpls,k=1,0.49890478593965937,-0.44896738962904936,162,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
all_olive,bayesian_baseline,n_basis=5 (RW2),0.4523312119322985,-0.19106752466934718,162,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
