cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
all_olive,Conca de Barberà,2020,76,-0.1045555555555557,0.2545555555555556,2020,3
all_olive,Conca de Barberà,2021,77,0.1644444444444444,-0.3004444444444445,2021,4
all_olive,Conca de Barberà,2022,78,-0.8115555555555556,-0.0314444444444443,2022,5
all_olive,Conca de Barberà,2023,79,-0.4535555555555557,-1.0074444444444444,2023,6
all_olive,Conca de Barberà,2024,80,-0.4705555555555556,-0.6494444444444445,2024,7
all_olive,Garrigues,2016,81,0.0102222222222221,-0.0103333333333331,2016,0
all_olive,Garrigues,2017,82,0.1502222222222221,0.0196666666666667,2017,1
all_olive,Garrigues,2018,83,0.0202222222222221,0.1596666666666667,2018,2
all_olive,Garrigues,2020,85,0.1002222222222222,0.0396666666666667,2020,3
all_olive,Garrigues,2021,86,0.0202222222222221,0.1096666666666668,2021,4
all_olive,Garrigues,2022,87,-0.3117777777777778,0.0296666666666667,2022,5
all_olive,Garrigues,2023,88,-0.0847777777777778,-0.3023333333333332,2023,6
all_olive,Garrigues,2024,89,0.0652222222222221,-0.0753333333333332,2024,7
all_olive,Montsià,2016,90,0.1180000000000001,-0.3677777777777776,2016,0
all_olive,Montsià,2017,91,0.0929999999999999,0.0462222222222223,2017,1
all_olive,Montsià,2018,92,-0.4209999999999999,0.0212222222222222,2018,2
all_olive,Montsià,2020,94,0.4539999999999999,-0.0987777777777776,2020,3
all_olive,Montsià,2021,95,0.357,0.3822222222222222,2021,4
all_olive,Montsià,2022,96,-0.608,0.2852222222222222,2022,5
all_olive,Montsià,2023,97,0.976,-0.6797777777777777,2023,6
all_olive,Montsià,2024,98,-0.942,0.9042222222222224,2024,7
all_olive,Noguera,2016,99,0.0365555555555555,-0.014,2016,0
all_olive,Noguera,2017,100,0.1765555555555555,0.0159999999999999,2017,1
all_olive,Noguera,2018,101,0.0465555555555555,0.1559999999999999,2018,2
all_olive,Noguera,2020,103,0.1365555555555555,0.0459999999999999,2020,3
all_olive,Noguera,2021,104,0.0565555555555555,0.1159999999999998,2021,4
all_olive,Noguera,2022,105,-0.2874444444444444,0.0359999999999999,2022,5
all_olive,Noguera,2023,106,-0.0534444444444444,-0.308,2023,6
all_olive,Noguera,2024,107,-0.1784444444444444,-0.074,2024,7
all_olive,Priorat,2016,108,0.5058888888888889,0.3046666666666666,2016,0
all_olive,Priorat,2017,109,0.3208888888888889,0.3856666666666666,2017,1
all_olive,Priorat,2018,110,-0.149111111111111,0.2006666666666665,2018,2
all_olive,Priorat,2020,112,0.0308888888888888,0.5206666666666666,2020,3
all_olive,Priorat,2021,113,0.313888888888889,-0.0893333333333334,2021,4
all_olive,Priorat,2022,114,-0.6561111111111111,0.1936666666666666,2022,5
all_olive,Priorat,2023,115,-0.350111111111111,-0.7763333333333333,2023,6
all_olive,Priorat,2024,116,-0.657111111111111,-0.4703333333333334,2024,7
all_olive,Ribera d'Ebre,2016,117,0.4441111111111111,-0.037,2016,0
all_olive,Ribera d'Ebre,2017,118,0.419111111111111,0.377,2017,1
all_olive,Ribera d'Ebre,2018,119,-0.1538888888888889,0.3519999999999998,2018,2
all_olive,Ribera d'Ebre,2020,121,0.1741111111111111,0.1719999999999999,2020,3
all_olive,Ribera d'Ebre,2021,122,0.1841111111111111,0.1069999999999999,2021,4
all_olive,Ribera d'Ebre,2022,123,-0.5238888888888888,0.1169999999999999,2022,5
all_olive,Ribera d'Ebre,2023,124,-0.2088888888888889,-0.591,2023,6
all_olive,Ribera d'Ebre,2024,125,-0.5738888888888889,-0.276,2024,7
all_olive,Segarra,2016,126,0.1646666666666667,0.1043333333333333,2016,0
all_olive,Segarra,2017,127,0.2146666666666666,0.1343333333333334,2017,1
all_olive,Segarra,2018,128,0.1046666666666666,0.1843333333333333,2018,2
all_olive,Segarra,2020,130,0.1846666666666666,0.0843333333333333,2020,3
all_olive,Segarra,2021,131,0.0746666666666666,0.1543333333333333,2021,4
all_olive,Segarra,2022,132,-0.4293333333333333,0.0443333333333333,2022,5
all_olive,Segarra,2023,133,-0.2903333333333333,-0.4596666666666666,2023,6
all_olive,Segarra,2024,134,-0.1383333333333333,-0.3206666666666666,2024,7
all_olive,Segrià,2016,135,0.0043333333333333,-0.0206666666666667,2016,0
all_olive,Segrià,2017,136,0.1343333333333333,-0.0006666666666667,2017,1
all_olive,Segrià,2018,137,0.0343333333333333,0.1293333333333333,2018,2
all_olive,Segrià,2020,139,0.1443333333333333,0.0693333333333332,2020,3
all_olive,Segrià,2021,140,0.0843333333333332,0.1393333333333333,2021,4
all_olive,Segrià,2022,141,-0.3606666666666667,0.0793333333333332,2022,5
all_olive,Segrià,2023,142,-0.0546666666666667,-0.3656666666666667,2023,6
all_olive,Segrià,2024,143,-0.0606666666666667,-0.0596666666666667,2024,7
all_olive,Tarragonès,2016,144,0.0654444444444446,0.7324444444444447,2016,0
all_olive,Tarragonès,2017,145,0.1074444444444444,-0.1095555555555554,2017,1
all_olive,Tarragonès,2018,146,-0.3285555555555555,-0.0675555555555555,2018,2
all_olive,Tarragonès,2020,148,0.2024444444444446,0.6454444444444445,2020,3
all_olive,Tarragonès,2021,149,0.3494444444444444,0.0274444444444446,2021,4
all_olive,Tarragonès,2022,150,-1.1965555555555554,0.1744444444444444,2022,5
all_olive,Tarragonès,2023,151,0.6474444444444445,-1.3715555555555554,2023,6
all_olive,Tarragonès,2024,152,-0.6675555555555555,0.4724444444444444,2024,7
all_olive,Terra Alta,2016,153,0.2745555555555554,-0.1976666666666667,2016,0
all_olive,Terra Alta,2017,154,0.6165555555555553,0.2163333333333332,2017,1
all_olive,Terra Alta,2018,155,-0.4224444444444446,0.5583333333333331,2018,2
all_olive,Terra Alta,2020,157,-0.0484444444444446,0.2163333333333332,2020,3
all_olive,Terra Alta,2021,158,0.2885555555555554,-0.1066666666666668,2021,4
all_olive,Terra Alta,2022,159,-0.7674444444444446,0.2303333333333332,2022,5
all_olive,Terra Alta,2023,160,0.4475555555555555,-0.8256666666666668,2023,6
all_olive,Terra Alta,2024,161,-0.6634444444444446,0.3893333333333333,2024,7
all_olive,Urgell,2016,162,0.1495555555555555,0.0895555555555556,2016,0
all_olive,Urgell,2017,163,0.1695555555555555,0.1195555555555555,2017,1
all_olive,Urgell,2018,164,0.0395555555555555,0.1395555555555555,2018,2
all_olive,Urgell,2020,166,0.1295555555555556,0.0295555555555555,2020,3
all_olive,Urgell,2021,167,0.1295555555555556,0.0995555555555556,2021,4
all_olive,Urgell,2022,168,-0.4284444444444444,0.0995555555555556,2022,5
all_olive,Urgell,2023,169,-0.0984444444444444,-0.4584444444444444,2023,6
all_olive,Urgell,2024,170,-0.1504444444444443,-0.1284444444444444,2024,7
