stage,doy_start,doy_end,beta_bayesian_median,beta_bayesian_q_lo,beta_bayesian_q_hi,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3
S_pre,1.0,71.0,0.0020659324202924444,0.0013419124939052693,0.0028542929418243278,0.0023424063446854312,0.004921566379936253,0.005221548843980806
S5,72.0,138.0,0.0005469118453982771,-5.7977721933783625e-05,0.0009675598387569479,0.00039752776673204017,-0.0032762927727921155,-0.004479729435225352
S6,139.0,173.0,4.680383057403897e-05,-0.0005455142341275411,0.0004458856974689058,9.394120090975601e-05,0.0017452878606582822,0.0019723578409110974
S7,174.0,299.0,-0.000646776901442466,-0.001006879787474939,-0.0002671516863518928,-0.0007196939151101101,0.00034239293762882914,0.00016687672502626664
S8,300.0,327.0,-0.0018354890875135292,-0.002970972592979802,-0.0004446266682283882,-0.001954640955871495,-0.002405689335290176,-0.0030224745797301756
S7_minus_S6,,,-0.0006928480958388404,-0.0011020493480008561,-6.31020235565941e-05,-0.0008136351160198661,-0.001402894923029453,-0.0018054811158848307
