,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.042,0.05,-0.125,0.038,0.001,0.001,5668.0,4905.0,1.0
beta0,-0.065,0.049,-0.149,0.013,0.001,0.001,4997.0,4954.0,1.0
beta1,-0.027,0.043,-0.097,0.039,0.001,0.001,3072.0,2682.0,1.0
beta_coefs[0],-0.065,0.049,-0.149,0.013,0.001,0.001,4997.0,4954.0,1.0
beta_coefs[1],-0.027,0.043,-0.097,0.039,0.001,0.001,3072.0,2682.0,1.0
beta_coefs[2],-0.009,0.034,-0.066,0.042,0.0,0.001,5495.0,2949.0,1.0
beta_coefs[3],0.014,0.036,-0.041,0.074,0.001,0.001,3252.0,2940.0,1.0
beta_coefs[4],0.039,0.059,-0.058,0.133,0.001,0.001,6473.0,5354.0,1.0
rw2_innovations[0],-0.02,0.078,-0.143,0.093,0.002,0.003,2759.0,1654.0,1.0
rw2_innovations[1],0.005,0.068,-0.101,0.104,0.001,0.003,4198.0,2087.0,1.0
rw2_innovations[2],0.002,0.075,-0.11,0.13,0.001,0.003,3686.0,2483.0,1.0
sigma,0.455,0.038,0.393,0.517,0.001,0.001,4933.0,3942.0,1.0
sigma_smooth,0.065,0.052,0.002,0.138,0.002,0.001,853.0,1077.0,1.0
