stage,doy_start,doy_end,beta_bayesian_median,beta_bayesian_q_lo,beta_bayesian_q_hi,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3
S_pre,1.0,71.0,-0.013525150215124446,-0.0245090390951202,-0.002548189492016308,-0.0006038211746109901,-0.0008090194217870175,-0.0018381084444415055
S5,72.0,138.0,-0.0027218140901816438,-0.005392372664850766,0.00022250472068638524,-4.8269668066911234e-05,0.0006016742383980513,0.00045203117044548014
S6,139.0,173.0,-0.00073363474395166,-0.0020847653198201865,0.0007802374439235199,-0.0018932236755571374,-0.00032376929754190914,0.0016370097989013347
S7,174.0,299.0,0.0013482986738858186,-0.0005864992147265155,0.0032909436468495433,-0.0003579010679765832,0.0008866873457052137,9.050156521562594e-05
S8,300.0,327.0,0.006694433416898847,-0.002467324350790513,0.016482850415328425,0.00099716165171352,0.0015720143956677673,0.0032099804613672602
S7_minus_S6,,,0.0020785151632072884,-0.0008759422859732449,0.004865055249921233,0.0015353226075805542,0.0012104566432471228,-0.0015465082336857086
