,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.043,-0.078,0.065,0.001,0.001,5391.0,4424.0,1.0
beta0,0.082,0.04,0.017,0.147,0.001,0.001,4290.0,3709.0,1.0
beta1,0.063,0.032,0.012,0.11,0.001,0.001,2325.0,2339.0,1.0
beta_coefs[0],0.082,0.04,0.017,0.147,0.001,0.001,4290.0,3709.0,1.0
beta_coefs[1],0.063,0.032,0.012,0.11,0.001,0.001,2325.0,2339.0,1.0
beta_coefs[2],0.02,0.03,-0.025,0.071,0.0,0.001,4905.0,3377.0,1.0
beta_coefs[3],-0.021,0.03,-0.064,0.029,0.001,0.001,3072.0,3002.0,1.0
beta_coefs[4],-0.041,0.031,-0.091,0.005,0.001,0.0,2385.0,4102.0,1.0
beta_coefs[5],-0.038,0.031,-0.086,0.012,0.0,0.001,5455.0,4074.0,1.0
beta_coefs[6],-0.019,0.029,-0.061,0.028,0.0,0.001,5880.0,3986.0,1.0
beta_coefs[7],0.006,0.05,-0.073,0.088,0.001,0.001,2518.0,4319.0,1.0
lag_coef,-0.095,0.1,-0.255,0.07,0.001,0.001,4777.0,4897.0,1.0
rw2_innovations[0],-0.024,0.073,-0.139,0.079,0.002,0.002,2825.0,2218.0,1.0
rw2_innovations[1],0.002,0.056,-0.091,0.09,0.001,0.002,4573.0,3168.0,1.0
rw2_innovations[2],0.02,0.056,-0.061,0.116,0.001,0.002,4589.0,2488.0,1.0
rw2_innovations[3],0.024,0.055,-0.056,0.116,0.001,0.001,4831.0,3465.0,1.0
rw2_innovations[4],0.017,0.058,-0.065,0.117,0.001,0.002,5234.0,3120.0,1.0
rw2_innovations[5],0.006,0.067,-0.094,0.111,0.001,0.002,6922.0,3313.0,1.0
sigma,0.412,0.032,0.359,0.463,0.0,0.0,4953.0,4087.0,1.0
sigma_smooth,0.058,0.043,0.001,0.115,0.001,0.001,651.0,771.0,1.0
