,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.004,0.136,-0.213,0.229,0.003,0.003,1871.0,2855.0,1.0
beta0,-0.041,0.037,-0.099,0.021,0.001,0.001,4264.0,4858.0,1.0
beta1,-0.023,0.032,-0.071,0.03,0.001,0.001,3049.0,2342.0,1.0
beta_coefs[0],-0.041,0.037,-0.099,0.021,0.001,0.001,4264.0,4858.0,1.0
beta_coefs[1],-0.023,0.032,-0.071,0.03,0.001,0.001,3049.0,2342.0,1.0
beta_coefs[2],0.013,0.034,-0.037,0.073,0.001,0.001,3364.0,3416.0,1.0
beta_coefs[3],0.021,0.031,-0.026,0.071,0.001,0.001,2505.0,2418.0,1.0
beta_coefs[4],-0.013,0.046,-0.088,0.06,0.001,0.001,2813.0,4616.0,1.0
lag_coef,-0.161,0.098,-0.321,0.003,0.002,0.002,2117.0,500.0,1.0
rw2_innovations[0],0.017,0.078,-0.103,0.142,0.002,0.002,2744.0,1997.0,1.0
rw2_innovations[1],-0.027,0.07,-0.15,0.071,0.001,0.002,3470.0,2223.0,1.0
rw2_innovations[2],-0.041,0.082,-0.184,0.068,0.002,0.002,3584.0,2100.0,1.0
sigma,0.294,0.024,0.254,0.332,0.0,0.0,4129.0,5155.0,1.0
sigma_smooth,0.072,0.054,0.002,0.148,0.002,0.001,502.0,374.0,1.01
sigma_year,0.403,0.115,0.226,0.57,0.002,0.002,1993.0,2911.0,1.0
year_raw[0],0.694,0.448,-0.079,1.392,0.009,0.006,2424.0,3308.0,1.0
year_raw[1],0.797,0.445,0.073,1.521,0.01,0.006,1832.0,3370.0,1.0
year_raw[2],-0.4,0.423,-1.113,0.269,0.009,0.005,2260.0,4152.0,1.0
year_raw[3],0.88,0.463,0.123,1.621,0.011,0.006,1909.0,3339.0,1.0
year_raw[4],0.561,0.447,-0.19,1.28,0.009,0.006,2614.0,3750.0,1.0
year_raw[5],0.519,0.43,-0.184,1.228,0.009,0.006,2257.0,3250.0,1.0
year_raw[6],-1.725,0.562,-2.59,-0.763,0.012,0.007,2209.0,3694.0,1.0
year_raw[7],-0.485,0.477,-1.299,0.275,0.01,0.006,2279.0,3876.0,1.0
year_raw[8],-0.941,0.447,-1.659,-0.203,0.009,0.005,2367.0,3785.0,1.0
year_re[2016],0.265,0.172,-0.03,0.535,0.004,0.002,2408.0,3238.0,1.0
year_re[2017],0.302,0.162,0.037,0.567,0.003,0.002,2289.0,3325.0,1.0
year_re[2018],-0.151,0.164,-0.414,0.121,0.003,0.002,2243.0,3908.0,1.0
year_re[2019],0.333,0.164,0.078,0.605,0.004,0.002,1863.0,3383.0,1.0
year_re[2020],0.214,0.172,-0.067,0.498,0.003,0.002,2663.0,3894.0,1.0
year_re[2021],0.197,0.165,-0.072,0.465,0.003,0.002,2369.0,3365.0,1.0
year_re[2022],-0.653,0.162,-0.912,-0.386,0.003,0.003,2123.0,3804.0,1.0
year_re[2023],-0.188,0.188,-0.49,0.124,0.004,0.003,2405.0,3466.0,1.0
year_re[2024],-0.357,0.16,-0.627,-0.103,0.003,0.002,2465.0,3751.0,1.0
