component_index,explained_variance_ratio,s8_energy_fraction,is_autumn_localized,storm_years_extreme,storm_year_detail,note
0,0.45798891225333843,0.08763514015407213,False,False,2018: mean|z|=0.78 max|z|=1.92 best_rank=6/90; 2024: mean|z|=0.58 max|z|=1.24 best_rank=23/90,
1,0.35898147211173836,0.130940036534358,False,True,2018: mean|z|=1.61 max|z|=2.23 best_rank=2/90; 2024: mean|z|=0.84 max|z|=1.40 best_rank=15/90,
2,0.09216772968202373,0.25202877614230007,True,False,2018: mean|z|=0.53 max|z|=1.21 best_rank=19/90; 2024: mean|z|=1.05 max|z|=1.79 best_rank=10/90,unsupervised (no yield used to define this component) -- storm_years_extreme=True on an autumn-localized component is yield-independent evidence the storm years are structurally anomalous in autumn; False on a localized component argues against the storm-contamination reading from the X side
3,0.04094815821301955,0.13307934057774642,False,False,2018: mean|z|=0.62 max|z|=1.21 best_rank=15/90; 2024: mean|z|=0.61 max|z|=1.15 best_rank=16/90,
4,0.018191037116825917,0.2816658602049935,True,False,2018: mean|z|=1.00 max|z|=1.99 best_rank=7/90; 2024: mean|z|=0.93 max|z|=1.25 best_rank=17/90,unsupervised (no yield used to define this component) -- storm_years_extreme=True on an autumn-localized component is yield-independent evidence the storm years are structurally anomalous in autumn; False on a localized component argues against the storm-contamination reading from the X side
