,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.125,-0.202,0.203,0.003,0.002,2193.0,3409.0,1.0
beta0,0.059,0.045,-0.013,0.132,0.001,0.0,3337.0,4890.0,1.0
beta1,-0.038,0.04,-0.103,0.025,0.001,0.001,2914.0,2640.0,1.0
beta_coefs[0],0.059,0.045,-0.013,0.132,0.001,0.0,3337.0,4890.0,1.0
beta_coefs[1],-0.038,0.04,-0.103,0.025,0.001,0.001,2914.0,2640.0,1.0
beta_coefs[2],-0.057,0.039,-0.117,0.008,0.001,0.001,3500.0,4561.0,1.0
beta_coefs[3],0.006,0.037,-0.051,0.068,0.001,0.001,4700.0,3916.0,1.0
beta_coefs[4],0.052,0.035,-0.005,0.111,0.0,0.0,7382.0,6951.0,1.0
lag_coef,-0.192,0.098,-0.35,-0.029,0.001,0.001,5025.0,5074.0,1.0
rw2_innovations[0],0.077,0.093,-0.06,0.238,0.002,0.002,2639.0,2713.0,1.0
rw2_innovations[1],0.083,0.09,-0.045,0.231,0.002,0.002,3603.0,3558.0,1.0
rw2_innovations[2],-0.017,0.095,-0.175,0.13,0.002,0.002,4284.0,3401.0,1.0
sigma,0.287,0.024,0.248,0.324,0.0,0.0,4838.0,4979.0,1.0
sigma_smooth,0.105,0.054,0.02,0.187,0.001,0.001,2182.0,2345.0,1.0
sigma_year,0.383,0.11,0.208,0.54,0.002,0.002,2380.0,3759.0,1.0
year_raw[0],0.583,0.448,-0.166,1.306,0.008,0.005,3001.0,4458.0,1.0
year_raw[1],0.7,0.441,-0.016,1.427,0.009,0.005,2324.0,3890.0,1.0
year_raw[2],-0.29,0.424,-0.987,0.4,0.008,0.005,2847.0,4156.0,1.0
year_raw[3],0.895,0.477,0.084,1.635,0.01,0.006,2527.0,3768.0,1.0
year_raw[4],0.584,0.488,-0.215,1.379,0.008,0.006,3281.0,4692.0,1.0
year_raw[5],0.476,0.418,-0.182,1.184,0.008,0.005,2767.0,4480.0,1.0
year_raw[6],-1.849,0.584,-2.723,-0.843,0.011,0.007,2698.0,4039.0,1.0
year_raw[7],-0.278,0.487,-1.045,0.542,0.009,0.006,3034.0,4208.0,1.0
year_raw[8],-0.825,0.439,-1.522,-0.092,0.008,0.005,2966.0,4333.0,1.0
year_re[2016],0.211,0.161,-0.048,0.477,0.003,0.002,3059.0,4306.0,1.0
year_re[2017],0.252,0.154,-0.009,0.496,0.003,0.002,2629.0,4163.0,1.0
year_re[2018],-0.104,0.156,-0.349,0.159,0.003,0.002,2830.0,4450.0,1.0
year_re[2019],0.32,0.158,0.069,0.585,0.003,0.002,2956.0,4377.0,1.0
year_re[2020],0.21,0.174,-0.074,0.496,0.003,0.002,3368.0,4512.0,1.0
year_re[2021],0.171,0.15,-0.07,0.417,0.003,0.002,2813.0,4566.0,1.0
year_re[2022],-0.663,0.153,-0.923,-0.425,0.003,0.002,2931.0,4755.0,1.0
year_re[2023],-0.104,0.18,-0.388,0.198,0.003,0.002,3075.0,3937.0,1.0
year_re[2024],-0.298,0.152,-0.553,-0.059,0.003,0.002,2891.0,4868.0,1.0
