,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.044,0.045,-0.034,0.115,0.001,0.001,5932.0,4690.0,1.0
beta0,0.126,0.056,0.036,0.218,0.001,0.001,4653.0,4599.0,1.0
beta1,0.071,0.042,0.0,0.136,0.001,0.001,3387.0,2513.0,1.0
beta_coefs[0],0.126,0.056,0.036,0.218,0.001,0.001,4653.0,4599.0,1.0
beta_coefs[1],0.071,0.042,0.0,0.136,0.001,0.001,3387.0,2513.0,1.0
beta_coefs[2],0.006,0.044,-0.06,0.082,0.001,0.001,3765.0,3986.0,1.0
beta_coefs[3],-0.076,0.045,-0.149,-0.007,0.001,0.001,3019.0,2471.0,1.0
beta_coefs[4],-0.21,0.07,-0.329,-0.098,0.001,0.001,3408.0,4315.0,1.0
rw2_innovations[0],-0.01,0.089,-0.161,0.129,0.002,0.003,2914.0,1768.0,1.0
rw2_innovations[1],-0.017,0.08,-0.149,0.112,0.001,0.002,3318.0,2708.0,1.0
rw2_innovations[2],-0.052,0.107,-0.22,0.11,0.002,0.003,2750.0,2123.0,1.0
sigma,0.412,0.034,0.358,0.47,0.0,0.0,5431.0,5068.0,1.0
sigma_smooth,0.084,0.058,0.003,0.165,0.002,0.001,970.0,1372.0,1.0
