,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.012,0.051,-0.094,0.075,0.001,0.001,5285.0,4354.0,1.0
beta0,-0.099,0.051,-0.183,-0.016,0.001,0.001,4755.0,4025.0,1.0
beta1,-0.043,0.049,-0.121,0.036,0.001,0.001,2886.0,2657.0,1.0
beta_coefs[0],-0.099,0.051,-0.183,-0.016,0.001,0.001,4755.0,4025.0,1.0
beta_coefs[1],-0.043,0.049,-0.121,0.036,0.001,0.001,2886.0,2657.0,1.0
beta_coefs[2],-0.014,0.036,-0.072,0.046,0.001,0.001,4853.0,3429.0,1.0
beta_coefs[3],0.019,0.041,-0.041,0.084,0.001,0.002,3194.0,2244.0,1.0
beta_coefs[4],0.069,0.063,-0.033,0.17,0.001,0.001,6094.0,5635.0,1.0
rw2_innovations[0],-0.026,0.086,-0.155,0.111,0.002,0.003,3112.0,1988.0,1.0
rw2_innovations[1],0.004,0.072,-0.103,0.124,0.001,0.003,3823.0,2654.0,1.0
rw2_innovations[2],0.016,0.084,-0.105,0.147,0.002,0.004,3602.0,2100.0,1.0
sigma,0.468,0.039,0.402,0.53,0.001,0.001,4405.0,3913.0,1.0
sigma_smooth,0.07,0.054,0.002,0.145,0.002,0.001,673.0,951.0,1.0
