,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.075,0.028,0.027,0.117,0.0,0.0,5165.0,4756.0,1.0
beta0,0.083,0.032,0.031,0.136,0.0,0.0,4196.0,4260.0,1.0
beta1,0.043,0.029,-0.003,0.087,0.001,0.001,2562.0,2160.0,1.0
beta_coefs[0],0.083,0.032,0.031,0.136,0.0,0.0,4196.0,4260.0,1.0
beta_coefs[1],0.043,0.029,-0.003,0.087,0.001,0.001,2562.0,2160.0,1.0
beta_coefs[2],0.013,0.028,-0.031,0.06,0.0,0.0,4563.0,4117.0,1.0
beta_coefs[3],-0.026,0.033,-0.071,0.029,0.001,0.001,2327.0,2016.0,1.0
beta_coefs[4],-0.107,0.037,-0.167,-0.048,0.001,0.0,3599.0,4512.0,1.0
rw2_innovations[0],0.011,0.075,-0.104,0.133,0.002,0.002,2670.0,2381.0,1.0
rw2_innovations[1],-0.01,0.062,-0.112,0.092,0.001,0.002,3870.0,2599.0,1.0
rw2_innovations[2],-0.041,0.087,-0.192,0.073,0.002,0.003,2520.0,2031.0,1.0
sigma,0.336,0.02,0.301,0.367,0.0,0.0,4590.0,4529.0,1.0
sigma_smooth,0.07,0.053,0.002,0.144,0.002,0.001,937.0,1308.0,1.01
