,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.042,-0.072,0.068,0.001,0.0,5921.0,5390.0,1.0
beta0,0.115,0.047,0.042,0.193,0.001,0.001,3434.0,3882.0,1.0
beta1,0.054,0.032,0.002,0.105,0.001,0.001,3199.0,2933.0,1.0
beta_coefs[0],0.115,0.047,0.042,0.193,0.001,0.001,3434.0,3882.0,1.0
beta_coefs[1],0.054,0.032,0.002,0.105,0.001,0.001,3199.0,2933.0,1.0
beta_coefs[2],-0.004,0.038,-0.07,0.053,0.001,0.001,4323.0,3783.0,1.0
beta_coefs[3],-0.042,0.033,-0.092,0.01,0.001,0.001,5355.0,3200.0,1.0
beta_coefs[4],-0.062,0.049,-0.14,0.018,0.001,0.001,4991.0,3962.0,1.0
lag_coef,-0.076,0.094,-0.241,0.07,0.001,0.001,5261.0,4966.0,1.0
rw2_innovations[0],0.003,0.08,-0.132,0.128,0.002,0.002,2745.0,2266.0,1.0
rw2_innovations[1],0.02,0.071,-0.085,0.144,0.001,0.002,4113.0,3019.0,1.0
rw2_innovations[2],0.018,0.082,-0.104,0.148,0.001,0.003,5141.0,2722.0,1.0
sigma,0.415,0.032,0.361,0.465,0.0,0.0,5084.0,5106.0,1.0
sigma_smooth,0.07,0.053,0.002,0.144,0.002,0.001,905.0,1292.0,1.0
