,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.035,0.034,-0.093,0.02,0.0,0.0,5117.0,4602.0,1.0
beta0,-0.082,0.035,-0.141,-0.027,0.001,0.0,4539.0,4562.0,1.0
beta1,-0.04,0.039,-0.096,0.022,0.001,0.001,2525.0,1697.0,1.0
beta_coefs[0],-0.082,0.035,-0.141,-0.027,0.001,0.0,4539.0,4562.0,1.0
beta_coefs[1],-0.04,0.039,-0.096,0.022,0.001,0.001,2525.0,1697.0,1.0
beta_coefs[2],-0.026,0.03,-0.074,0.018,0.001,0.001,3384.0,2459.0,1.0
beta_coefs[3],0.013,0.035,-0.043,0.063,0.001,0.001,2752.0,1956.0,1.0
beta_coefs[4],0.078,0.044,0.007,0.149,0.001,0.0,5383.0,5480.0,1.0
rw2_innovations[0],-0.029,0.087,-0.171,0.083,0.002,0.004,2236.0,1487.0,1.0
rw2_innovations[1],0.026,0.07,-0.07,0.131,0.002,0.004,2546.0,2081.0,1.0
rw2_innovations[2],0.026,0.078,-0.084,0.157,0.002,0.003,2683.0,2137.0,1.0
sigma,0.417,0.025,0.374,0.456,0.0,0.0,4461.0,4531.0,1.0
sigma_smooth,0.067,0.055,0.002,0.144,0.002,0.001,826.0,1240.0,1.0
