,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.018,0.142,-0.227,0.232,0.003,0.002,1969.0,3113.0,1.0
beta0,0.078,0.052,-0.004,0.167,0.001,0.001,4803.0,5021.0,1.0
beta1,0.045,0.037,-0.013,0.107,0.001,0.001,3574.0,3547.0,1.0
beta_coefs[0],0.078,0.052,-0.004,0.167,0.001,0.001,4803.0,5021.0,1.0
beta_coefs[1],0.045,0.037,-0.013,0.107,0.001,0.001,3574.0,3547.0,1.0
beta_coefs[2],0.018,0.035,-0.036,0.077,0.0,0.001,5622.0,4044.0,1.0
beta_coefs[3],-0.008,0.031,-0.055,0.041,0.0,0.001,5130.0,3260.0,1.0
beta_coefs[4],-0.042,0.052,-0.126,0.042,0.001,0.001,6425.0,4925.0,1.0
lag_coef,-0.078,0.095,-0.233,0.078,0.001,0.001,4313.0,5374.0,1.0
rw2_innovations[0],0.007,0.078,-0.113,0.129,0.001,0.002,3667.0,2602.0,1.01
rw2_innovations[1],-0.0,0.07,-0.108,0.112,0.001,0.002,5016.0,2931.0,1.01
rw2_innovations[2],-0.007,0.081,-0.134,0.12,0.001,0.003,5148.0,2835.0,1.0
sigma,0.267,0.023,0.23,0.305,0.0,0.0,5156.0,5080.0,1.0
sigma_smooth,0.067,0.053,0.001,0.141,0.002,0.001,450.0,226.0,1.01
sigma_year,0.402,0.118,0.223,0.575,0.002,0.002,2412.0,3875.0,1.0
year_raw[0],0.474,0.429,-0.203,1.197,0.008,0.005,2642.0,4178.0,1.0
year_raw[1],0.709,0.445,-0.008,1.436,0.009,0.005,2607.0,4004.0,1.0
year_raw[2],-0.293,0.452,-1.02,0.439,0.008,0.005,3139.0,4370.0,1.0
year_raw[3],1.387,0.577,0.54,2.399,0.012,0.007,2287.0,3609.0,1.0
year_raw[4],-0.156,0.487,-0.944,0.638,0.009,0.006,3094.0,4490.0,1.0
year_raw[5],0.069,0.482,-0.695,0.871,0.009,0.006,3158.0,4480.0,1.0
year_raw[6],-1.596,0.567,-2.497,-0.644,0.011,0.007,2835.0,3922.0,1.0
year_raw[7],-0.664,0.482,-1.432,0.146,0.009,0.006,2839.0,4142.0,1.0
year_re[2016],0.178,0.165,-0.098,0.44,0.003,0.002,2661.0,3971.0,1.0
year_re[2017],0.267,0.165,-0.0,0.538,0.003,0.002,2703.0,3786.0,1.0
year_re[2018],-0.112,0.175,-0.389,0.179,0.003,0.002,3014.0,4510.0,1.0
year_re[2019],0.521,0.185,0.227,0.828,0.003,0.002,2918.0,4083.0,1.0
year_re[2020],-0.06,0.192,-0.357,0.271,0.004,0.002,2862.0,4085.0,1.0
year_re[2021],0.027,0.188,-0.272,0.346,0.003,0.002,3025.0,4474.0,1.0
year_re[2022],-0.6,0.168,-0.886,-0.339,0.003,0.002,2487.0,3698.0,1.0
year_re[2024],-0.25,0.18,-0.532,0.05,0.004,0.002,2108.0,4042.0,1.0
