,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.043,-0.074,0.067,0.001,0.001,6286.0,5276.0,1.0
beta0,0.15,0.055,0.061,0.242,0.001,0.001,2565.0,3146.0,1.0
beta1,-0.022,0.045,-0.098,0.046,0.001,0.001,2593.0,3169.0,1.0
beta_coefs[0],0.15,0.055,0.061,0.242,0.001,0.001,2565.0,3146.0,1.0
beta_coefs[1],-0.022,0.045,-0.098,0.046,0.001,0.001,2593.0,3169.0,1.0
beta_coefs[2],-0.088,0.046,-0.158,-0.008,0.001,0.001,3095.0,4549.0,1.0
beta_coefs[3],-0.048,0.043,-0.116,0.024,0.001,0.001,4301.0,3318.0,1.0
beta_coefs[4],0.012,0.057,-0.082,0.103,0.001,0.001,4693.0,4863.0,1.0
lag_coef,-0.107,0.1,-0.27,0.059,0.001,0.001,4765.0,4875.0,1.0
rw2_innovations[0],0.107,0.114,-0.066,0.292,0.002,0.002,2461.0,2939.0,1.0
rw2_innovations[1],0.105,0.105,-0.056,0.274,0.002,0.002,3248.0,3217.0,1.0
rw2_innovations[2],0.021,0.116,-0.172,0.207,0.002,0.002,4083.0,3180.0,1.0
sigma,0.411,0.032,0.358,0.463,0.0,0.0,4996.0,5305.0,1.0
sigma_smooth,0.123,0.056,0.034,0.219,0.001,0.001,1782.0,1396.0,1.0
