cohort,predictor,held_out_year,stem,delta_median,delta_q_lo,delta_q_hi,prob_delta_gt_0
arbequina,wd_state,2016,numpyro_main_arbequina_wd_state_excl2016,5.3101865937209855e-05,-5.918230316120928e-05,0.00018853446154858363,0.78125
arbequina,wd_state,2017,numpyro_main_arbequina_wd_state_excl2017,6.734897915621938e-05,-3.282676947017191e-05,0.00019951825636194858,0.863375
arbequina,wd_state,2018,numpyro_main_arbequina_wd_state_excl2018,0.00011184208836024804,1.3324584009459151e-05,0.0002472796469726265,0.968875
arbequina,wd_state,2019,numpyro_main_arbequina_wd_state_excl2019,7.469669653582732e-05,-2.0271788188003074e-05,0.00020211336168355222,0.903625
arbequina,wd_state,2020,numpyro_main_arbequina_wd_state_excl2020,0.00010379596157956874,-1.7282326999239215e-07,0.00024356037796459463,0.949625
arbequina,wd_state,2021,numpyro_main_arbequina_wd_state_excl2021,8.563175873836556e-05,-1.4786295676562382e-05,0.00022714710789884226,0.917875
arbequina,wd_state,2022,numpyro_main_arbequina_wd_state_excl2022,7.145287027691605e-05,-2.613829143937812e-05,0.0001971558387958236,0.883375
arbequina,wd_state,2023,numpyro_main_arbequina_wd_state_excl2023,6.219413085548009e-05,-2.2877918951575172e-05,0.0001645593382659358,0.886
arbequina,wd_state,2024,numpyro_main_arbequina_wd_state_excl2024,9.903436068119761e-05,-2.533198068247858e-06,0.00023563570013475122,0.943125
