,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.042,0.047,-0.116,0.036,0.001,0.001,5646.0,5290.0,1.0
beta0,0.055,0.058,-0.041,0.148,0.001,0.001,4406.0,5039.0,1.0
beta1,0.04,0.05,-0.042,0.119,0.001,0.001,3012.0,2677.0,1.0
beta_coefs[0],0.055,0.058,-0.041,0.148,0.001,0.001,4406.0,5039.0,1.0
beta_coefs[1],0.04,0.05,-0.042,0.119,0.001,0.001,3012.0,2677.0,1.0
beta_coefs[2],0.025,0.057,-0.055,0.122,0.001,0.001,2832.0,4082.0,1.0
beta_coefs[3],-0.033,0.055,-0.115,0.056,0.001,0.001,2320.0,2841.0,1.0
beta_coefs[4],-0.194,0.093,-0.344,-0.046,0.002,0.001,2406.0,4084.0,1.0
rw2_innovations[0],0.0,0.111,-0.183,0.174,0.002,0.003,2708.0,2104.0,1.0
rw2_innovations[1],-0.043,0.1,-0.212,0.103,0.002,0.002,4021.0,2925.0,1.0
rw2_innovations[2],-0.102,0.144,-0.353,0.069,0.003,0.004,2180.0,2553.0,1.0
sigma,0.428,0.036,0.372,0.488,0.001,0.0,5098.0,4682.0,1.0
sigma_smooth,0.103,0.067,0.003,0.194,0.002,0.001,985.0,1113.0,1.0
