,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.043,-0.074,0.068,0.001,0.001,6189.0,5237.0,1.0
beta0,0.111,0.04,0.048,0.177,0.001,0.0,4116.0,4867.0,1.0
beta1,0.06,0.033,0.009,0.114,0.001,0.001,3256.0,3310.0,1.0
beta_coefs[0],0.111,0.04,0.048,0.177,0.001,0.0,4116.0,4867.0,1.0
beta_coefs[1],0.06,0.033,0.009,0.114,0.001,0.001,3256.0,3310.0,1.0
beta_coefs[2],-0.01,0.03,-0.058,0.037,0.0,0.0,5140.0,5043.0,1.0
beta_coefs[3],-0.051,0.032,-0.103,-0.001,0.001,0.001,3419.0,3793.0,1.0
beta_coefs[4],-0.053,0.03,-0.105,-0.008,0.0,0.0,4520.0,4812.0,1.0
beta_coefs[5],-0.028,0.031,-0.079,0.021,0.0,0.0,5984.0,4725.0,1.0
beta_coefs[6],-0.002,0.032,-0.052,0.051,0.001,0.001,4082.0,3866.0,1.0
beta_coefs[7],0.007,0.047,-0.07,0.081,0.001,0.001,6723.0,5252.0,1.0
lag_coef,-0.094,0.103,-0.262,0.072,0.001,0.001,5362.0,5243.0,1.0
rw2_innovations[0],-0.02,0.072,-0.13,0.092,0.001,0.002,3670.0,2684.0,1.0
rw2_innovations[1],0.03,0.059,-0.058,0.125,0.001,0.001,4371.0,3207.0,1.0
rw2_innovations[2],0.038,0.06,-0.046,0.14,0.001,0.002,4248.0,2778.0,1.0
rw2_innovations[3],0.028,0.058,-0.059,0.122,0.001,0.002,4361.0,3358.0,1.0
rw2_innovations[4],0.0,0.06,-0.1,0.091,0.001,0.001,5224.0,3382.0,1.0
rw2_innovations[5],-0.017,0.075,-0.139,0.09,0.001,0.002,5650.0,3188.0,1.0
sigma,0.412,0.033,0.36,0.466,0.0,0.0,5420.0,4856.0,1.0
sigma_smooth,0.066,0.041,0.01,0.126,0.001,0.001,1196.0,1532.0,1.0
