,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.006,0.226,-0.381,0.364,0.005,0.003,2132.0,3087.0,1.0
beta0,0.12,0.103,-0.048,0.289,0.002,0.001,3543.0,4596.0,1.0
beta1,0.056,0.066,-0.052,0.162,0.001,0.001,3296.0,3786.0,1.0
beta_coefs[0],0.12,0.103,-0.048,0.289,0.002,0.001,3543.0,4596.0,1.0
beta_coefs[1],0.056,0.066,-0.052,0.162,0.001,0.001,3296.0,3786.0,1.0
beta_coefs[2],0.013,0.059,-0.084,0.102,0.001,0.001,4164.0,3388.0,1.0
beta_coefs[3],-0.011,0.047,-0.088,0.064,0.001,0.001,5697.0,4635.0,1.0
beta_coefs[4],-0.029,0.091,-0.175,0.12,0.001,0.001,4965.0,4334.0,1.0
lag_coef,-0.113,0.104,-0.277,0.065,0.001,0.001,4930.0,5189.0,1.0
rw2_innovations[0],0.021,0.094,-0.127,0.181,0.002,0.003,4584.0,2773.0,1.0
rw2_innovations[1],0.019,0.091,-0.123,0.17,0.001,0.002,5274.0,2964.0,1.0
rw2_innovations[2],0.005,0.098,-0.155,0.155,0.001,0.004,5666.0,3043.0,1.0
sigma,0.645,0.056,0.547,0.727,0.001,0.001,5482.0,4753.0,1.01
sigma_smooth,0.078,0.059,0.001,0.16,0.002,0.001,521.0,441.0,1.0
sigma_year,0.691,0.176,0.402,0.955,0.004,0.002,2431.0,3860.0,1.0
year_raw[0],0.316,0.451,-0.428,1.073,0.008,0.005,3435.0,4654.0,1.0
year_raw[1],0.831,0.482,0.054,1.639,0.009,0.006,2975.0,4104.0,1.0
year_raw[2],-0.498,0.485,-1.316,0.261,0.008,0.006,3557.0,4250.0,1.0
year_raw[3],1.257,0.539,0.376,2.137,0.01,0.006,3054.0,4156.0,1.0
year_raw[4],-0.54,0.538,-1.392,0.355,0.009,0.006,3249.0,4793.0,1.0
year_raw[5],0.097,0.527,-0.739,0.97,0.009,0.006,3491.0,4506.0,1.0
year_raw[6],-1.964,0.592,-3.024,-1.081,0.012,0.008,2544.0,2752.0,1.0
year_raw[7],0.433,0.481,-0.393,1.172,0.009,0.006,3197.0,4093.0,1.0
year_re[2016],0.207,0.3,-0.272,0.713,0.005,0.003,3430.0,4833.0,1.0
year_re[2017],0.545,0.304,0.048,1.035,0.005,0.003,3290.0,4220.0,1.0
year_re[2018],-0.332,0.318,-0.844,0.186,0.005,0.003,3597.0,4615.0,1.0
year_re[2019],0.835,0.343,0.286,1.406,0.006,0.004,3520.0,4132.0,1.0
year_re[2020],-0.366,0.363,-0.949,0.231,0.007,0.004,3028.0,4558.0,1.0
year_re[2021],0.063,0.354,-0.491,0.67,0.006,0.004,3438.0,4645.0,1.0
year_re[2022],-1.292,0.309,-1.781,-0.758,0.006,0.004,2398.0,766.0,1.0
year_re[2024],0.289,0.318,-0.215,0.826,0.005,0.004,3421.0,4280.0,1.0
