,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.044,0.046,-0.034,0.119,0.001,0.001,5414.0,4882.0,1.0
beta0,0.146,0.059,0.048,0.241,0.001,0.001,2096.0,3734.0,1.0
beta1,0.019,0.044,-0.052,0.089,0.001,0.001,2534.0,3050.0,1.0
beta_coefs[0],0.146,0.059,0.048,0.241,0.001,0.001,2096.0,3734.0,1.0
beta_coefs[1],0.019,0.044,-0.052,0.089,0.001,0.001,2534.0,3050.0,1.0
beta_coefs[2],-0.062,0.053,-0.148,0.021,0.001,0.001,2405.0,3741.0,1.0
beta_coefs[3],-0.056,0.046,-0.132,0.016,0.001,0.001,3905.0,3663.0,1.0
beta_coefs[4],0.026,0.073,-0.09,0.145,0.001,0.001,2385.0,4786.0,1.0
rw2_innovations[0],0.047,0.117,-0.127,0.25,0.002,0.003,2360.0,2531.0,1.0
rw2_innovations[1],0.086,0.105,-0.057,0.27,0.002,0.002,3010.0,3077.0,1.0
rw2_innovations[2],0.076,0.125,-0.111,0.285,0.002,0.003,3736.0,3379.0,1.0
sigma,0.419,0.035,0.36,0.473,0.001,0.0,4696.0,4723.0,1.0
sigma_smooth,0.115,0.061,0.003,0.196,0.002,0.001,1281.0,1216.0,1.0
