,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.043,0.112,-0.14,0.223,0.002,0.002,2288.0,3565.0,1.0
beta0,0.076,0.048,-0.001,0.155,0.001,0.001,2974.0,4306.0,1.0
beta1,-0.018,0.042,-0.089,0.047,0.001,0.001,3045.0,3310.0,1.0
beta_coefs[0],0.076,0.048,-0.001,0.155,0.001,0.001,2974.0,4306.0,1.0
beta_coefs[1],-0.018,0.042,-0.089,0.047,0.001,0.001,3045.0,3310.0,1.0
beta_coefs[2],-0.063,0.05,-0.14,0.017,0.001,0.001,2576.0,4158.0,1.0
beta_coefs[3],-0.021,0.039,-0.089,0.039,0.001,0.001,5236.0,3828.0,1.0
beta_coefs[4],0.069,0.063,-0.028,0.172,0.001,0.001,3051.0,5254.0,1.0
lag_coef,-0.162,0.08,-0.293,-0.027,0.001,0.001,6102.0,5652.0,1.0
rw2_innovations[0],0.048,0.107,-0.11,0.236,0.002,0.003,3087.0,2948.0,1.0
rw2_innovations[1],0.087,0.1,-0.063,0.251,0.002,0.002,3424.0,2916.0,1.0
rw2_innovations[2],0.048,0.11,-0.121,0.232,0.002,0.002,5286.0,3588.0,1.0
sigma,0.285,0.018,0.257,0.314,0.0,0.0,6679.0,5067.0,1.0
sigma_smooth,0.108,0.059,0.002,0.185,0.001,0.001,1592.0,1216.0,1.0
sigma_year,0.312,0.098,0.162,0.451,0.002,0.002,2428.0,3555.0,1.0
year_raw[0],0.346,0.43,-0.34,1.069,0.008,0.005,2802.0,4107.0,1.0
year_raw[1],0.779,0.459,0.055,1.558,0.009,0.005,2825.0,3803.0,1.0
year_raw[2],-0.462,0.471,-1.221,0.322,0.008,0.005,3413.0,4849.0,1.0
year_raw[3],0.674,0.5,-0.14,1.498,0.01,0.006,2767.0,4194.0,1.0
year_raw[4],0.729,0.524,-0.119,1.576,0.01,0.006,2753.0,4153.0,1.0
year_raw[5],0.159,0.47,-0.628,0.893,0.009,0.006,2776.0,4146.0,1.0
year_raw[6],-1.841,0.622,-2.832,-0.834,0.012,0.007,2769.0,3579.0,1.0
year_raw[7],-0.343,0.47,-1.096,0.437,0.008,0.005,3141.0,4536.0,1.0
year_re[2016],0.102,0.131,-0.096,0.331,0.002,0.002,2836.0,4318.0,1.0
year_re[2017],0.226,0.131,0.013,0.44,0.002,0.002,3007.0,3771.0,1.0
year_re[2018],-0.135,0.141,-0.357,0.102,0.002,0.002,3214.0,4521.0,1.0
year_re[2019],0.195,0.142,-0.048,0.42,0.003,0.002,2910.0,4300.0,1.0
year_re[2020],0.211,0.149,-0.032,0.451,0.003,0.002,2892.0,4105.0,1.0
year_re[2021],0.051,0.142,-0.189,0.278,0.003,0.002,2732.0,4293.0,1.0
year_re[2022],-0.531,0.131,-0.735,-0.306,0.002,0.002,2884.0,4194.0,1.0
year_re[2023],-0.099,0.139,-0.337,0.12,0.003,0.002,3030.0,4823.0,1.0
