,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.114,0.212,0.773,1.468,0.008,0.005,752.0,915.0,1.01
beta0,-0.051,0.044,-0.129,0.017,0.001,0.001,1436.0,1471.0,1.0
beta1,-0.022,0.039,-0.078,0.043,0.001,0.002,1061.0,625.0,1.0
beta_coefs[0],-0.051,0.044,-0.129,0.017,0.001,0.001,1436.0,1471.0,1.0
beta_coefs[1],-0.022,0.039,-0.078,0.043,0.001,0.002,1061.0,625.0,1.0
beta_coefs[2],0.02,0.041,-0.047,0.082,0.001,0.001,991.0,1201.0,1.0
beta_coefs[3],0.038,0.042,-0.028,0.106,0.001,0.001,873.0,1109.0,1.0
beta_coefs[4],0.018,0.062,-0.08,0.117,0.002,0.001,1061.0,1385.0,1.0
comarca_raw[0],-0.016,0.525,-0.894,0.775,0.017,0.011,913.0,1152.0,1.01
comarca_raw[1],-0.952,0.561,-1.925,-0.084,0.022,0.013,690.0,871.0,1.01
comarca_raw[2],0.756,0.464,0.002,1.498,0.014,0.012,1043.0,1215.0,1.0
comarca_raw[3],1.42,0.509,0.621,2.255,0.016,0.01,1076.0,1247.0,1.0
comarca_raw[4],-0.013,0.507,-0.769,0.852,0.017,0.011,873.0,1369.0,1.0
comarca_raw[5],-0.708,0.508,-1.539,0.102,0.019,0.011,758.0,1083.0,1.01
comarca_raw[6],-0.313,0.464,-1.066,0.423,0.017,0.01,754.0,1492.0,1.01
comarca_raw[7],-0.659,0.582,-1.642,0.235,0.017,0.013,1138.0,1192.0,1.0
comarca_raw[8],1.425,0.517,0.572,2.26,0.015,0.01,1226.0,1422.0,1.0
comarca_raw[9],-0.67,0.481,-1.504,0.08,0.015,0.01,1019.0,1437.0,1.01
comarca_re[Alt Camp],0.003,0.182,-0.301,0.287,0.006,0.004,1007.0,1359.0,1.0
comarca_re[Alt Penedès],-0.313,0.172,-0.632,-0.067,0.006,0.003,901.0,1306.0,1.0
comarca_re[Baix Camp],0.26,0.162,-0.001,0.531,0.005,0.004,857.0,1171.0,1.01
comarca_re[Baix Penedès],0.488,0.181,0.192,0.782,0.006,0.004,830.0,1183.0,1.01
comarca_re[Conca de Barberà],0.002,0.176,-0.28,0.29,0.006,0.004,827.0,1433.0,1.0
comarca_re[Garrigues],-0.239,0.168,-0.521,0.03,0.005,0.003,1076.0,1183.0,1.0
comarca_re[Priorat],-0.1,0.156,-0.353,0.153,0.005,0.003,904.0,1069.0,1.01
comarca_re[Segrià],-0.219,0.193,-0.514,0.115,0.005,0.004,1230.0,1469.0,1.0
comarca_re[Tarragonès],0.488,0.18,0.204,0.797,0.006,0.004,1011.0,1316.0,1.01
comarca_re[Urgell],-0.222,0.158,-0.501,0.02,0.005,0.003,1122.0,1416.0,1.0
lag_coef,-0.054,0.104,-0.22,0.122,0.003,0.002,1239.0,1206.0,1.01
rw2_innovations[0],0.013,0.08,-0.111,0.131,0.003,0.006,906.0,535.0,1.02
rw2_innovations[1],-0.024,0.067,-0.142,0.065,0.002,0.004,914.0,823.0,1.01
rw2_innovations[2],-0.037,0.08,-0.166,0.086,0.003,0.003,888.0,1064.0,1.01
sigma,0.316,0.028,0.27,0.358,0.001,0.001,1345.0,1249.0,1.0
sigma_comarca,0.358,0.112,0.2,0.536,0.004,0.004,640.0,953.0,1.01
sigma_smooth,0.072,0.053,0.002,0.146,0.003,0.002,275.0,389.0,1.03
sigma_year,0.399,0.115,0.233,0.578,0.005,0.004,553.0,922.0,1.01
year_raw[0],0.676,0.498,-0.169,1.449,0.017,0.014,907.0,927.0,1.0
year_raw[1],0.891,0.494,0.121,1.685,0.017,0.011,882.0,1190.0,1.0
year_raw[2],-0.498,0.475,-1.26,0.284,0.014,0.011,1091.0,1143.0,1.01
year_raw[3],1.001,0.49,0.213,1.786,0.017,0.011,830.0,1155.0,1.01
year_raw[4],0.567,0.487,-0.215,1.34,0.015,0.011,1098.0,1211.0,1.0
year_raw[5],0.493,0.453,-0.265,1.191,0.015,0.015,979.0,1227.0,1.0
year_raw[6],-1.694,0.589,-2.598,-0.713,0.021,0.013,792.0,930.0,1.01
year_raw[7],-0.188,0.504,-0.946,0.692,0.017,0.012,852.0,1061.0,1.01
year_raw[8],-0.858,0.479,-1.679,-0.104,0.017,0.011,816.0,1073.0,1.01
year_re[2016],0.257,0.19,-0.047,0.554,0.006,0.005,959.0,1278.0,1.0
year_re[2017],0.335,0.18,0.046,0.603,0.006,0.005,900.0,1179.0,1.0
year_re[2018],-0.185,0.178,-0.485,0.103,0.006,0.004,1040.0,1099.0,1.01
year_re[2019],0.376,0.174,0.078,0.638,0.006,0.004,928.0,1049.0,1.0
year_re[2020],0.215,0.188,-0.084,0.522,0.006,0.004,1047.0,1369.0,1.0
year_re[2021],0.187,0.171,-0.105,0.447,0.006,0.004,922.0,1306.0,1.0
year_re[2022],-0.63,0.169,-0.913,-0.367,0.005,0.004,1014.0,1068.0,1.01
year_re[2023],-0.072,0.198,-0.393,0.254,0.007,0.005,805.0,1031.0,1.0
year_re[2024],-0.317,0.166,-0.579,-0.04,0.006,0.004,880.0,1092.0,1.01
