,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.076,0.165,-0.204,0.339,0.003,0.002,3297.0,3474.0,1.0
beta0,-0.031,0.083,-0.164,0.103,0.001,0.001,3506.0,4161.0,1.0
beta1,0.008,0.062,-0.093,0.106,0.001,0.001,3352.0,3986.0,1.0
beta_coefs[0],-0.031,0.083,-0.164,0.103,0.001,0.001,3506.0,4161.0,1.0
beta_coefs[1],0.008,0.062,-0.093,0.106,0.001,0.001,3352.0,3986.0,1.0
beta_coefs[2],0.041,0.061,-0.054,0.144,0.001,0.001,4166.0,4609.0,1.0
beta_coefs[3],0.069,0.069,-0.044,0.179,0.001,0.001,4832.0,5162.0,1.0
beta_coefs[4],0.104,0.105,-0.067,0.275,0.001,0.001,5317.0,4642.0,1.0
lag_coef,-0.295,0.288,-0.73,0.221,0.005,0.003,3941.0,4118.0,1.0
rw2_innovations[0],-0.006,0.083,-0.148,0.113,0.001,0.003,4915.0,2604.0,1.0
rw2_innovations[1],-0.005,0.075,-0.114,0.122,0.001,0.002,5012.0,3121.0,1.0
rw2_innovations[2],0.007,0.086,-0.119,0.155,0.001,0.003,5263.0,3310.0,1.0
sigma,0.222,0.077,0.113,0.327,0.002,0.002,2054.0,2654.0,1.0
sigma_smooth,0.07,0.054,0.002,0.145,0.002,0.001,916.0,1332.0,1.0
sigma_year,0.448,0.159,0.203,0.702,0.003,0.002,2402.0,2253.0,1.0
year_raw[0],0.121,0.637,-0.91,1.173,0.01,0.008,3735.0,5069.0,1.0
year_raw[1],-0.009,0.531,-0.865,0.835,0.009,0.008,3408.0,4220.0,1.0
year_raw[2],-1.26,0.7,-2.431,-0.134,0.011,0.009,3999.0,4941.0,1.0
year_raw[3],0.014,0.642,-1.057,1.029,0.011,0.009,3458.0,4176.0,1.0
year_raw[4],0.811,0.751,-0.472,2.006,0.012,0.01,4234.0,4091.0,1.0
year_raw[5],0.134,0.761,-1.094,1.415,0.012,0.01,4352.0,4170.0,1.0
year_raw[6],-0.876,0.68,-1.976,0.232,0.01,0.008,4302.0,4975.0,1.0
year_raw[7],1.114,0.679,0.046,2.255,0.011,0.01,3683.0,3943.0,1.0
year_re[2016],0.058,0.28,-0.415,0.494,0.005,0.003,3818.0,4930.0,1.0
year_re[2017],-0.006,0.224,-0.37,0.359,0.004,0.003,3554.0,4171.0,1.0
year_re[2018],-0.526,0.284,-0.983,-0.058,0.005,0.003,3184.0,3568.0,1.0
year_re[2019],0.003,0.277,-0.428,0.466,0.005,0.004,3662.0,4631.0,1.0
year_re[2020],0.343,0.323,-0.188,0.883,0.005,0.004,3767.0,4758.0,1.0
year_re[2021],0.039,0.332,-0.511,0.588,0.005,0.004,4670.0,5064.0,1.0
year_re[2022],-0.374,0.297,-0.876,0.092,0.005,0.004,3509.0,4237.0,1.0
year_re[2023],0.485,0.303,-0.037,0.944,0.006,0.004,2944.0,3777.0,1.0
