stage,doy_start,doy_end,beta_bayesian_median,beta_bayesian_q_lo,beta_bayesian_q_hi,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3
S_pre,1.0,71.0,0.0019615927602438894,0.0010051030675483402,0.0030463953793610824,0.002220836858884583,0.004663645737714007,0.006098814365850316
S5,72.0,138.0,0.000447088984226287,-0.00043817453752926513,0.0011239615479090857,0.0003117315155740314,-0.001427970453514018,-0.004422641963875565
S6,139.0,173.0,-0.00014318495479461742,-0.0011406141430212254,0.0005427106989365719,-0.0002623115572088907,0.00148570348045041,0.002721972194328283
S7,174.0,299.0,-0.0008299820894175016,-0.0014283054123269418,-0.0002449449748141213,-0.0010053451479125003,-0.0008656801396966751,-0.0019058225635897406
S8,300.0,327.0,-0.0015978205290534853,-0.003255418725121599,0.0006215945148176826,-0.0014715103242204774,0.0013485505402958627,0.003178076798833922
S7_minus_S6,,,-0.0006677414747872216,-0.0012991379187365696,0.00019122464673219586,-0.0007430335907036097,-0.002351383620147085,-0.004627794757918024
