,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.027,0.138,-0.245,0.199,0.003,0.002,2142.0,3263.0,1.0
beta0,0.075,0.061,-0.019,0.183,0.001,0.001,3892.0,4108.0,1.0
beta1,0.032,0.043,-0.037,0.099,0.001,0.001,3689.0,3661.0,1.0
beta_coefs[0],0.075,0.061,-0.019,0.183,0.001,0.001,3892.0,4108.0,1.0
beta_coefs[1],0.032,0.043,-0.037,0.099,0.001,0.001,3689.0,3661.0,1.0
beta_coefs[2],0.0,0.042,-0.071,0.062,0.001,0.001,5095.0,3506.0,1.0
beta_coefs[3],-0.014,0.032,-0.068,0.033,0.0,0.001,5700.0,4008.0,1.0
beta_coefs[4],-0.021,0.064,-0.118,0.09,0.001,0.001,5555.0,3703.0,1.0
lag_coef,-0.144,0.102,-0.311,0.022,0.001,0.001,5117.0,4365.0,1.0
rw2_innovations[0],0.012,0.084,-0.119,0.151,0.001,0.002,3919.0,2943.0,1.0
rw2_innovations[1],0.018,0.079,-0.106,0.144,0.001,0.002,4609.0,3254.0,1.0
rw2_innovations[2],0.006,0.084,-0.124,0.142,0.001,0.002,4964.0,3278.0,1.0
sigma,0.312,0.027,0.268,0.354,0.0,0.0,5714.0,4663.0,1.0
sigma_smooth,0.072,0.055,0.002,0.149,0.001,0.001,1104.0,1317.0,1.0
sigma_year,0.385,0.122,0.203,0.563,0.002,0.002,2491.0,3913.0,1.0
year_raw[0],0.54,0.491,-0.305,1.281,0.009,0.006,2848.0,4402.0,1.0
year_raw[1],0.708,0.493,-0.055,1.567,0.009,0.006,2797.0,4197.0,1.0
year_raw[2],-0.104,0.496,-0.914,0.735,0.009,0.006,3255.0,4808.0,1.0
year_raw[3],1.341,0.592,0.323,2.251,0.011,0.007,2679.0,4229.0,1.0
year_raw[4],-0.027,0.589,-1.013,0.907,0.01,0.008,3688.0,4723.0,1.0
year_raw[5],-1.506,0.569,-2.397,-0.56,0.011,0.007,2829.0,4075.0,1.0
year_raw[6],-0.263,0.511,-1.141,0.538,0.009,0.006,3104.0,4025.0,1.0
year_raw[7],-0.715,0.508,-1.532,0.116,0.009,0.006,3201.0,4597.0,1.0
year_re[2016],0.195,0.178,-0.105,0.478,0.003,0.002,3112.0,4220.0,1.0
year_re[2017],0.255,0.176,-0.016,0.559,0.003,0.002,3117.0,4796.0,1.0
year_re[2018],-0.042,0.183,-0.333,0.267,0.003,0.002,3084.0,4809.0,1.0
year_re[2019],0.479,0.185,0.174,0.777,0.003,0.002,3036.0,4394.0,1.0
year_re[2020],-0.01,0.218,-0.373,0.348,0.004,0.003,3641.0,4681.0,1.0
year_re[2022],-0.539,0.172,-0.811,-0.249,0.003,0.002,2845.0,4469.0,1.0
year_re[2023],-0.094,0.187,-0.405,0.205,0.003,0.002,2931.0,4193.0,1.0
year_re[2024],-0.255,0.179,-0.535,0.049,0.003,0.002,3047.0,4767.0,1.0
