stage,doy_start,doy_end,beta_bayesian_median,beta_bayesian_q_lo,beta_bayesian_q_hi,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3
S_pre,1.0,71.0,0.0008346330915470963,0.00030520587834766,0.0013644894143000912,-7.600649142948988e-05,0.0005133040477166435,0.0003312063407872614
S5,72.0,138.0,0.0007162841365876099,0.00031475182570721684,0.0011214881346516777,-0.00024288094509809002,0.00010368642767277364,0.00021125370576587267
S6,139.0,173.0,0.000624958016471002,0.00017649309181547832,0.0010579624377006283,-0.00042654990275418567,-0.0005252711873927158,-0.0006554359586527928
S7,174.0,299.0,-0.0003774148403947844,-0.0006909991226267453,-1.1597569476639589e-05,-0.00023460101011940735,6.182165708326737e-05,0.00017015322515637725
S8,300.0,327.0,-0.0033791010316646976,-0.004629246554121539,-0.0021522680371378958,-0.0007848566978695421,-0.0011808590610861366,-0.0013450935960785276
S7_minus_S6,,,-0.0009948457826699426,-0.0014251036633862331,-0.0005482339980167313,0.00019194889263477832,0.0005870928444759832,0.00082558918380917
