,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.007,0.136,-0.213,0.222,0.004,0.005,1546.0,1058.0,1.0
beta0,0.071,0.071,-0.044,0.186,0.001,0.001,2936.0,2430.0,1.0
beta1,0.019,0.044,-0.051,0.09,0.001,0.001,3637.0,3238.0,1.0
beta_coefs[0],0.071,0.071,-0.044,0.186,0.001,0.001,2936.0,2430.0,1.0
beta_coefs[1],0.019,0.044,-0.051,0.09,0.001,0.001,3637.0,3238.0,1.0
beta_coefs[2],-0.017,0.036,-0.074,0.041,0.001,0.001,4548.0,3395.0,1.0
beta_coefs[3],-0.047,0.064,-0.154,0.054,0.001,0.001,3245.0,2159.0,1.0
lag_coef,-0.152,0.095,-0.31,0.002,0.001,0.001,6120.0,5741.0,1.0
rw2_innovations[0],0.016,0.093,-0.126,0.165,0.002,0.003,3911.0,2902.0,1.0
rw2_innovations[1],0.006,0.091,-0.13,0.165,0.001,0.002,4690.0,2839.0,1.01
sigma,0.297,0.024,0.256,0.335,0.0,0.0,5811.0,4555.0,1.0
sigma_smooth,0.079,0.059,0.002,0.162,0.001,0.001,1033.0,677.0,1.01
sigma_year,0.389,0.111,0.227,0.558,0.002,0.002,2044.0,4430.0,1.0
year_raw[0],0.656,0.457,-0.074,1.403,0.011,0.009,1873.0,1239.0,1.0
year_raw[1],0.719,0.467,-0.008,1.523,0.011,0.012,1880.0,1200.0,1.0
year_raw[2],-0.432,0.456,-1.166,0.314,0.009,0.005,2619.0,3667.0,1.0
year_raw[3],1.295,0.591,0.335,2.258,0.012,0.007,2419.0,3552.0,1.0
year_raw[4],-0.06,0.586,-1.053,0.871,0.013,0.012,2255.0,928.0,1.0
year_raw[5],0.434,0.45,-0.267,1.206,0.01,0.012,2156.0,1177.0,1.0
year_raw[6],-1.667,0.556,-2.542,-0.713,0.012,0.006,2089.0,3051.0,1.0
year_raw[7],-0.351,0.489,-1.162,0.443,0.01,0.006,2460.0,4500.0,1.0
year_raw[8],-0.722,0.502,-1.544,0.092,0.009,0.006,2849.0,4545.0,1.0
year_re[2016],0.239,0.166,-0.027,0.508,0.004,0.005,1847.0,1233.0,1.0
year_re[2017],0.262,0.169,-0.0,0.546,0.004,0.006,1862.0,1205.0,1.0
year_re[2018],-0.161,0.173,-0.447,0.118,0.004,0.003,2332.0,1304.0,1.0
year_re[2019],0.471,0.194,0.154,0.78,0.004,0.002,2474.0,3755.0,1.0
year_re[2020],-0.024,0.222,-0.362,0.361,0.005,0.007,2060.0,962.0,1.0
year_re[2021],0.156,0.168,-0.107,0.427,0.004,0.007,1968.0,1199.0,1.0
year_re[2022],-0.608,0.163,-0.862,-0.33,0.004,0.005,1839.0,1240.0,1.0
year_re[2023],-0.128,0.183,-0.441,0.16,0.004,0.003,2052.0,1255.0,1.0
year_re[2024],-0.265,0.184,-0.556,0.04,0.004,0.002,2638.0,3990.0,1.0
