cohort,model,complexity,pooled_loyo_rmse,pooled_loyo_r2,n_obs,n_folds,note
arbequina,fpls,k=1,0.5353252255579978,-0.47797915716706685,90,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
arbequina,bayesian_baseline,n_basis=5 (RW2),0.4963394056087142,-0.27054603376285447,90,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
