,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.056,0.04,-0.124,0.007,0.001,0.001,4954.0,5013.0,1.0
beta0,0.121,0.04,0.056,0.185,0.001,0.001,3565.0,3579.0,1.0
beta1,0.083,0.031,0.036,0.133,0.001,0.001,2960.0,2354.0,1.0
beta_coefs[0],0.121,0.04,0.056,0.185,0.001,0.001,3565.0,3579.0,1.0
beta_coefs[1],0.083,0.031,0.036,0.133,0.001,0.001,2960.0,2354.0,1.0
beta_coefs[2],0.023,0.031,-0.023,0.077,0.0,0.001,5065.0,3585.0,1.0
beta_coefs[3],-0.041,0.031,-0.084,0.011,0.001,0.001,3919.0,2321.0,1.0
beta_coefs[4],-0.093,0.041,-0.165,-0.03,0.001,0.001,6870.0,5076.0,1.0
rw2_innovations[0],-0.021,0.079,-0.145,0.1,0.002,0.003,2777.0,2217.0,1.0
rw2_innovations[1],-0.004,0.063,-0.097,0.102,0.001,0.002,3963.0,2521.0,1.0
rw2_innovations[2],0.012,0.08,-0.119,0.123,0.001,0.003,3853.0,2244.0,1.0
sigma,0.363,0.03,0.313,0.412,0.0,0.0,4986.0,4852.0,1.0
sigma_smooth,0.067,0.052,0.0,0.139,0.001,0.001,887.0,1130.0,1.01
