,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.025,0.033,-0.081,0.028,0.0,0.0,6213.0,4909.0,1.0
beta0,0.059,0.058,-0.032,0.158,0.001,0.001,4184.0,4643.0,1.0
beta1,0.095,0.058,-0.001,0.188,0.001,0.001,3116.0,3010.0,1.0
beta_coefs[0],0.059,0.058,-0.032,0.158,0.001,0.001,4184.0,4643.0,1.0
beta_coefs[1],0.095,0.058,-0.001,0.188,0.001,0.001,3116.0,3010.0,1.0
beta_coefs[2],0.108,0.062,0.008,0.211,0.001,0.001,4327.0,2278.0,1.0
beta_coefs[3],0.005,0.07,-0.104,0.114,0.001,0.001,3437.0,3560.0,1.0
beta_coefs[4],-0.349,0.093,-0.499,-0.193,0.002,0.001,3690.0,1943.0,1.0
rw2_innovations[0],-0.023,0.148,-0.283,0.202,0.003,0.003,2646.0,2550.0,1.0
rw2_innovations[1],-0.116,0.134,-0.339,0.097,0.002,0.002,4015.0,3341.0,1.0
rw2_innovations[2],-0.25,0.194,-0.551,0.042,0.003,0.003,3459.0,3604.0,1.0
sigma,0.396,0.024,0.358,0.436,0.0,0.0,5820.0,5340.0,1.0
sigma_smooth,0.165,0.064,0.067,0.273,0.001,0.001,2074.0,1290.0,1.0
