,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.023,0.033,-0.03,0.077,0.0,0.0,5009.0,4399.0,1.0
beta0,0.127,0.041,0.064,0.195,0.001,0.001,1731.0,2656.0,1.0
beta1,0.036,0.034,-0.017,0.089,0.001,0.001,1936.0,1901.0,1.0
beta_coefs[0],0.127,0.041,0.064,0.195,0.001,0.001,1731.0,2656.0,1.0
beta_coefs[1],0.036,0.034,-0.017,0.089,0.001,0.001,1936.0,1901.0,1.0
beta_coefs[2],-0.019,0.032,-0.077,0.026,0.001,0.001,2448.0,2922.0,1.0
beta_coefs[3],-0.044,0.033,-0.096,0.007,0.001,0.001,3195.0,1962.0,1.0
beta_coefs[4],-0.079,0.037,-0.14,-0.018,0.0,0.0,6204.0,4804.0,1.0
rw2_innovations[0],0.037,0.088,-0.096,0.18,0.002,0.003,1954.0,1881.0,1.0
rw2_innovations[1],0.03,0.07,-0.074,0.147,0.001,0.002,3263.0,2247.0,1.0
rw2_innovations[2],-0.01,0.087,-0.139,0.129,0.002,0.003,3073.0,1719.0,1.0
sigma,0.393,0.024,0.354,0.43,0.0,0.0,4756.0,4294.0,1.0
sigma_smooth,0.075,0.054,0.002,0.151,0.002,0.001,859.0,1259.0,1.0
