cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
arbequina,Alt Camp,2016,171,0.890222222222222,2.103111111111111,2016,0
arbequina,Alt Camp,2017,172,0.9402222222222224,0.6201111111111111,2017,1
arbequina,Alt Camp,2018,173,-1.243777777777778,0.6701111111111113,2018,2
arbequina,Alt Camp,2019,174,1.8502222222222224,-1.5138888888888888,2019,3
arbequina,Alt Camp,2020,175,-1.009777777777778,1.5801111111111117,2020,4
arbequina,Alt Camp,2021,176,0.978222222222222,-1.2798888888888889,2021,5
arbequina,Alt Camp,2022,177,-1.8547777777777776,0.7081111111111111,2022,6
arbequina,Alt Camp,2023,178,-0.492777777777778,-2.124888888888889,2023,7
arbequina,Alt Camp,2024,179,-0.0577777777777779,-0.762888888888889,2024,8
arbequina,Alt Penedès,2016,180,0.6077777777777778,0.5711111111111111,2016,0
arbequina,Alt Penedès,2017,181,0.977777777777778,0.5711111111111111,2017,1
arbequina,Alt Penedès,2018,182,-0.0922222222222222,0.9411111111111112,2018,2
arbequina,Alt Penedès,2019,183,0.1277777777777777,-0.1288888888888888,2019,3
arbequina,Alt Penedès,2020,184,-0.4922222222222223,0.0911111111111111,2020,4
arbequina,Alt Penedès,2021,185,0.2077777777777778,-0.528888888888889,2021,5
arbequina,Alt Penedès,2022,186,-0.7922222222222222,0.1711111111111112,2022,6
arbequina,Alt Penedès,2023,187,-0.8222222222222222,-0.8288888888888888,2023,7
arbequina,Alt Penedès,2024,188,0.2777777777777777,-0.8588888888888888,2024,8
arbequina,Baix Camp,2016,189,0.2863333333333333,1.4957777777777777,2016,0
arbequina,Baix Camp,2017,190,0.3363333333333336,0.0127777777777775,2017,1
arbequina,Baix Camp,2018,191,-2.163666666666667,0.0627777777777778,2018,2
arbequina,Baix Camp,2019,192,1.7863333333333338,-2.437222222222222,2019,3
arbequina,Baix Camp,2020,193,-0.2716666666666665,1.512777777777778,2020,4
arbequina,Baix Camp,2021,194,0.8063333333333333,-0.5452222222222223,2021,5
arbequina,Baix Camp,2022,195,-2.0196666666666667,0.5327777777777776,2022,6
arbequina,Baix Camp,2023,196,1.9323333333333337,-2.293222222222222,2023,7
arbequina,Baix Camp,2024,197,-0.6926666666666668,1.658777777777778,2024,8
arbequina,Baix Penedès,2016,198,0.3473333333333332,1.6462222222222225,2016,0
arbequina,Baix Penedès,2017,199,0.3973333333333335,0.1632222222222221,2017,1
arbequina,Baix Penedès,2018,200,-1.469666666666667,0.2132222222222224,2018,2
arbequina,Baix Penedès,2019,201,0.9673333333333328,-1.6537777777777778,2019,3
arbequina,Baix Penedès,2020,202,0.2723333333333335,0.7832222222222218,2020,4
arbequina,Baix Penedès,2021,203,0.1633333333333335,0.0882222222222224,2021,5
arbequina,Baix Penedès,2022,204,-1.9886666666666664,-0.0207777777777775,2022,6
arbequina,Baix Penedès,2023,205,1.1373333333333338,-2.1727777777777777,2023,7
arbequina,Baix Penedès,2024,206,0.1733333333333333,0.9532222222222226,2024,8
