,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.075,0.03,0.024,0.123,0.0,0.0,6601.0,5286.0,1.0
beta0,-0.059,0.059,-0.151,0.04,0.001,0.001,3866.0,4541.0,1.0
beta1,0.055,0.052,-0.03,0.138,0.001,0.001,2637.0,3337.0,1.0
beta_coefs[0],-0.059,0.059,-0.151,0.04,0.001,0.001,3866.0,4541.0,1.0
beta_coefs[1],0.055,0.052,-0.03,0.138,0.001,0.001,2637.0,3337.0,1.0
beta_coefs[2],0.091,0.054,0.005,0.18,0.001,0.001,3509.0,2195.0,1.0
beta_coefs[3],0.036,0.053,-0.049,0.12,0.001,0.001,4502.0,4182.0,1.0
beta_coefs[4],-0.158,0.079,-0.287,-0.027,0.001,0.001,3630.0,2792.0,1.0
rw2_innovations[0],-0.079,0.127,-0.289,0.119,0.003,0.003,2465.0,2827.0,1.0
rw2_innovations[1],-0.089,0.112,-0.278,0.08,0.002,0.002,3814.0,3296.0,1.0
rw2_innovations[2],-0.139,0.143,-0.37,0.073,0.002,0.003,3921.0,3701.0,1.0
sigma,0.36,0.022,0.325,0.395,0.0,0.0,5764.0,4909.0,1.0
sigma_smooth,0.137,0.059,0.042,0.232,0.001,0.001,1781.0,1007.0,1.0
