,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.028,0.227,-0.327,0.405,0.005,0.004,2364.0,3203.0,1.0
beta0,0.12,0.11,-0.054,0.303,0.002,0.001,3097.0,3761.0,1.0
beta1,0.045,0.072,-0.069,0.164,0.001,0.001,3041.0,3387.0,1.0
beta_coefs[0],0.12,0.11,-0.054,0.303,0.002,0.001,3097.0,3761.0,1.0
beta_coefs[1],0.045,0.072,-0.069,0.164,0.001,0.001,3041.0,3387.0,1.0
beta_coefs[2],-0.004,0.066,-0.106,0.1,0.001,0.001,3554.0,3103.0,1.0
beta_coefs[3],-0.021,0.052,-0.112,0.055,0.001,0.001,5243.0,4353.0,1.0
beta_coefs[4],-0.027,0.112,-0.208,0.15,0.002,0.002,3737.0,3794.0,1.0
lag_coef,-0.144,0.111,-0.327,0.034,0.002,0.001,5381.0,5621.0,1.0
rw2_innovations[0],0.026,0.104,-0.124,0.205,0.002,0.003,4100.0,2688.0,1.0
rw2_innovations[1],0.031,0.101,-0.125,0.198,0.002,0.003,4403.0,2890.0,1.0
rw2_innovations[2],0.011,0.105,-0.149,0.188,0.002,0.003,5195.0,2936.0,1.0
sigma,0.713,0.061,0.608,0.807,0.001,0.001,5864.0,5454.0,1.0
sigma_smooth,0.085,0.062,0.003,0.174,0.002,0.001,973.0,1675.0,1.0
sigma_year,0.665,0.178,0.377,0.932,0.003,0.002,3001.0,4984.0,1.0
year_raw[0],0.251,0.5,-0.594,1.033,0.008,0.005,3539.0,5002.0,1.0
year_raw[1],0.727,0.517,-0.095,1.588,0.009,0.006,3029.0,4289.0,1.0
year_raw[2],-0.526,0.53,-1.427,0.294,0.008,0.006,4053.0,5070.0,1.0
year_raw[3],1.099,0.556,0.218,2.026,0.01,0.007,3209.0,4335.0,1.0
year_raw[4],-0.017,0.602,-1.043,0.921,0.011,0.007,3247.0,4447.0,1.0
year_raw[5],-2.047,0.609,-3.019,-1.027,0.01,0.007,3484.0,4697.0,1.0
year_raw[6],0.108,0.545,-0.788,1.007,0.009,0.006,3541.0,4872.0,1.0
year_raw[7],0.357,0.503,-0.529,1.128,0.008,0.006,3778.0,4733.0,1.0
year_re[2016],0.157,0.32,-0.384,0.658,0.005,0.004,3521.0,4694.0,1.0
year_re[2017],0.46,0.322,-0.067,0.982,0.006,0.004,3355.0,4119.0,1.0
year_re[2018],-0.341,0.344,-0.901,0.224,0.006,0.004,3805.0,3990.0,1.0
year_re[2019],0.699,0.342,0.149,1.265,0.006,0.004,3261.0,4676.0,1.0
year_re[2021],-0.007,0.387,-0.629,0.632,0.007,0.005,3161.0,4521.0,1.0
year_re[2022],-1.297,0.322,-1.834,-0.789,0.006,0.004,3351.0,4179.0,1.0
year_re[2023],0.073,0.352,-0.479,0.686,0.006,0.004,3416.0,4290.0,1.0
year_re[2024],0.226,0.321,-0.311,0.742,0.005,0.004,3628.0,4745.0,1.0
