,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.085,0.043,0.014,0.153,0.001,0.001,5501.0,5065.0,1.0
beta0,-0.051,0.06,-0.15,0.046,0.001,0.001,3692.0,4326.0,1.0
beta1,0.013,0.046,-0.06,0.089,0.001,0.001,3032.0,3296.0,1.0
beta_coefs[0],-0.051,0.06,-0.15,0.046,0.001,0.001,3692.0,4326.0,1.0
beta_coefs[1],0.013,0.046,-0.06,0.089,0.001,0.001,3032.0,3296.0,1.0
beta_coefs[2],0.039,0.05,-0.032,0.121,0.001,0.001,3133.0,4421.0,1.0
beta_coefs[3],0.019,0.047,-0.054,0.097,0.001,0.001,3921.0,2932.0,1.0
beta_coefs[4],-0.079,0.08,-0.216,0.047,0.002,0.001,2674.0,4354.0,1.0
rw2_innovations[0],-0.039,0.101,-0.218,0.113,0.002,0.003,2921.0,2513.0,1.0
rw2_innovations[1],-0.046,0.095,-0.214,0.085,0.002,0.002,3444.0,2640.0,1.0
rw2_innovations[2],-0.077,0.121,-0.279,0.088,0.002,0.003,2968.0,2461.0,1.0
sigma,0.38,0.032,0.329,0.429,0.0,0.0,4791.0,4091.0,1.0
sigma_smooth,0.102,0.06,0.003,0.182,0.002,0.001,1222.0,1154.0,1.0
