,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.014,0.04,-0.067,0.057,0.012,0.005,12.0,23.0,1.24
beta0,-0.087,0.033,-0.145,-0.04,0.004,0.001,89.0,3784.0,1.03
beta1,-0.034,0.041,-0.103,0.023,0.001,0.002,1348.0,1362.0,1.13
beta_coefs[0],-0.087,0.033,-0.145,-0.04,0.004,0.001,89.0,3784.0,1.03
beta_coefs[1],-0.034,0.041,-0.103,0.023,0.001,0.002,1348.0,1362.0,1.13
beta_coefs[2],-0.024,0.032,-0.078,0.015,0.004,0.002,49.0,1528.0,1.06
beta_coefs[3],0.017,0.038,-0.045,0.069,0.001,0.001,1603.0,1815.0,1.05
beta_coefs[4],0.098,0.044,0.034,0.169,0.007,0.001,44.0,4466.0,1.06
rw2_innovations[0],-0.043,0.098,-0.19,0.078,0.004,0.005,895.0,1170.0,1.1
rw2_innovations[1],0.031,0.075,-0.059,0.153,0.003,0.006,1173.0,1471.0,1.06
rw2_innovations[2],0.04,0.086,-0.06,0.192,0.005,0.003,255.0,1898.0,1.05
sigma,0.415,0.026,0.38,0.46,0.005,0.0,30.0,3365.0,1.09
sigma_smooth,0.066,0.064,0.001,0.159,0.012,0.002,11.0,16.0,1.28
