doy,beta_wd_state,beta_vpd
1,0.0027953959565609546,-0.015812721356366886
2,0.002760820823734494,-0.015531311859187377
3,0.0027265643591919348,-0.015253371893827436
4,0.002692624733028911,-0.014978879940798995
5,0.0026590001153410582,-0.014707814480613993
6,0.002625688676224012,-0.014440153993784358
7,0.0025926885857734073,-0.01417587696082203
8,0.0025599980140848804,-0.013914961862238945
9,0.0025276151312540666,-0.013657387178547038
10,0.002495538107376599,-0.013403131390258234
11,0.0024637651125481164,-0.01315217297788448
12,0.0024322943168642525,-0.01290449042193771
13,0.0024011238904206433,-0.012660062202929855
14,0.0023702520033129226,-0.012418866801372847
15,0.002339676825636727,-0.01218088269777863
16,0.0023093965274876924,-0.01194608837265913
17,0.002279409278961454,-0.01171446230652629
18,0.0022497132501536456,-0.011485982979892036
19,0.002220306611159903,-0.011260628873268305
20,0.0021911875320758637,-0.011038378467167043
21,0.002162354182997161,-0.010819210242100169
22,0.002133804734019431,-0.010603102678579628
23,0.002105537355238309,-0.010390034257117355
24,0.002077550216749431,-0.010179983458225279
25,0.002049841488648431,-0.009972928762415338
26,0.002022409341030945,-0.009768848650199467
27,0.001995251943992609,-0.009567721602089605
28,0.0019683674676290574,-0.00936952609859768
29,0.0019417540820359266,-0.009174240620235632
30,0.0019154099573088514,-0.008981843647515392
31,0.0018893332635434672,-0.008792313660948898
32,0.0018635221708354095,-0.008605629141048083
33,0.001837974849280313,-0.00842176856832488
34,0.0018126894689738144,-0.008240710423291234
35,0.0017876642000115475,-0.008062433186459066
36,0.001762897212489149,-0.007886915338340319
37,0.0017383866765022541,-0.007714135359446931
38,0.0017141307621464973,-0.007544071730290827
39,0.0016901276395175154,-0.007376702931383952
40,0.001666375478710942,-0.007212007443238233
41,0.0016428724498224138,-0.00704996374636561
42,0.0016196167229475661,-0.006890550321278016
43,0.001596606468182034,-0.006733745648487388
44,0.0015738398556214522,-0.006579528208505656
45,0.0015513150553614571,-0.006427876481844759
46,0.001529030237497684,-0.006278768949016634
47,0.0015069835721257677,-0.006132184090533211
48,0.0014851732293413437,-0.005988100386906427
49,0.0014635973792400483,-0.005846496318648218
50,0.0014422541919175155,-0.005707350366270517
51,0.0014211418374693813,-0.005570641010285258
52,0.0014002584859912817,-0.0054363467312043825
53,0.001379602307578851,-0.005304446009539818
54,0.0013591714723277248,-0.005174917325803501
55,0.0013389641503335388,-0.005047739160507369
56,0.001318978511691929,-0.004922889994163356
57,0.0012992127264985294,-0.004800348307283396
58,0.0012796649648489763,-0.004680092580379425
59,0.0012603333968389048,-0.004562101293963378
60,0.0012412161925639505,-0.0044463529285471886
61,0.0012223115221197487,-0.004332825964642793
62,0.0012036175556019344,-0.004221498882762124
63,0.0011851324631061435,-0.004112350163417121
64,0.0011668544147280112,-0.004005358287119714
65,0.0011487815805631726,-0.003900501734381842
66,0.0011309121307072631,-0.003797758985715436
67,0.001113244235255919,-0.003697108521632435
68,0.0010957760643047743,-0.003598528822644771
69,0.0010785057879494652,-0.0035019983692643796
70,0.0010614315762856271,-0.0034074956420031975
71,0.0010445515994088952,-0.003314999121373157
72,0.0010278640274149048,-0.0032244872878861948
73,0.0010113670303992916,-0.0031359386220542454
74,0.0009950587784576903,-0.0030493316043892437
75,0.0009789374416857373,-0.0029646447154031254
76,0.0009630011901790667,-0.0028818564356078227
77,0.0009472481940333152,-0.002800945245515274
78,0.0009316766233441173,-0.002721889625637412
79,0.0009162846482071085,-0.0026446680564861727
80,0.0009010704387179246,-0.0025692590185734917
81,0.0008860321649722005,-0.0024956409924113015
82,0.0008711679970655718,-0.0024237924585115396
83,0.0008564761050936739,-0.0023536918973861396
84,0.0008419546591521423,-0.0022853177895470365
85,0.000827601829336612,-0.002218648615506166
86,0.0008134157857427189,-0.002153662855775463
87,0.0007993946984660976,-0.002090338990866861
88,0.0007855367376023844,-0.0020286555012922966
89,0.000771840073247214,-0.0019685908675637033
90,0.0007583028754962222,-0.001910123570193018
91,0.0007449233144450442,-0.0018532320896921743
92,0.000731699560189315,-0.001797894906573107
93,0.0007186297828246705,-0.0017440905013477509
94,0.0007057121524467462,-0.0016917973545280426
95,0.0006929448391511768,-0.001640993946625915
96,0.0006803260130335985,-0.0015916587581533042
97,0.0006678538441896462,-0.0015437702696221452
98,0.0006555265027149552,-0.0014973069615443725
99,0.0006433421587051611,-0.0014522473144319209
100,0.0006312989822558991,-0.0014085698087967257
101,0.000619395143462805,-0.001366252925150722
102,0.0006076288124215137,-0.0013252751440058447
103,0.0005959981592276606,-0.0012856149458740282
104,0.0005845013539768815,-0.001247250811267208
105,0.0005731365667648114,-0.001210161220697319
106,0.0005619019676870856,-0.0011743246546762958
107,0.0005507957268393399,-0.001139719593716074
108,0.0005398160143172092,-0.0011063245183285878
109,0.0005289610002163293,-0.0010741179090257725
110,0.0005182288546323355,-0.001043078246319563
111,0.0005076177476608628,-0.0010131840107218942
112,0.000497125849397547,-0.0009844136827447014
113,0.0004867513299380234,-0.000956745742899919
114,0.00047649235937792734,-0.0009301586716994823
115,0.0004663471078128942,-0.0009046309496553263
116,0.00045631374533855934,-0.0008801410572793856
117,0.000446390442050558,-0.0008566674750835955
118,0.0004365753680445258,-0.0008341886835798909
119,0.00042686669341609806,-0.0008126831632802064
120,0.0004172625882609101,-0.0007921293946964774
121,0.00040776122267459727,-0.0007725058583406385
122,0.00039836076675279494,-0.0007537910347246249
123,0.0003890593905911386,-0.0007359634043603714
124,0.0003798552642852636,-0.0007190014477598132
125,0.0003707465579308052,-0.0007028836454348848
126,0.00036173144162339905,-0.0006875884778975215
127,0.0003528080854586802,-0.0006730944256596581
128,0.00034397465953228435,-0.0006593799692332297
129,0.0003352293339398467,-0.000646423589130171
130,0.0003265702787770025,-0.0006342037658624172
131,0.0003179956641393873,-0.0006226989799419031
132,0.00030950366012263644,-0.0006118877118805635
133,0.00030109243682238543,-0.0006017484421903338
134,0.00029276016433426943,-0.0005922596513831486
135,0.000284505012753924,-0.0005833998199709428
136,0.0002763251521769843,-0.0005751474284656514
137,0.000268218752699086,-0.0005674809573792097
138,0.0002601839844158642,-0.0005603788872235524
139,0.0002522190174229545,-0.0005538196985106141
140,0.0002443220218159922,-0.0005477818717523304
141,0.00023649116769061267,-0.0005422438874606358
142,0.00022872462514245115,-0.0005371842261474651
143,0.00022102056426714334,-0.0005325813683247539
144,0.00021337715516032434,-0.0005284137945044366
145,0.00020579256791762956,-0.0005246599851984482
146,0.00019826497263469454,-0.0005212984209187239
147,0.0001907925394071546,-0.0005183075821771986
148,0.00018337343833064497,-0.000515665949485807
149,0.00017600583950080114,-0.0005133520033564842
150,0.0001686879130132586,-0.0005113442243011652
151,0.00016141782896365254,-0.0005096210928317846
152,0.0001541937574476184,-0.0005081610894602781
153,0.00014701386856079163,-0.0005069426946985799
154,0.0001398763323988076,-0.0005059443890586253
155,0.0001327793190573016,-0.0005051446530523493
156,0.00012572099863190905,-0.0005045219671916867
157,0.00011869954121826535,-0.0005040548119885724
158,0.00011171311691200585,-0.0005037216679549415
159,0.00010475989580876598,-0.0005035010156027289
160,9.783804800418105e-05,-0.0005033713354438696
161,9.094574359388649e-05,-0.0005033111079902982
162,8.408115267351775e-05,-0.0005032988137539502
163,7.724244533871003e-05,-0.00050331293324676
164,7.042779168509877e-05,-0.000503331946980663
165,6.363541912620935e-05,-0.0005033371135990779
166,5.686378434712704e-05,-0.0005033208042713597
167,5.011140135082706e-05,-0.0005032781682983465
168,4.337678414028448e-05,-0.0005032043549808775
169,3.665844671847453e-05,-0.0005030945136197914
170,2.9954903088372436e-05,-0.0005029437935159264
171,2.32646672529534e-05,-0.0005027473439701217
172,1.6586253215192615e-05,-0.0005025003142832159
173,9.918174978065212e-06,-0.0005021978537560474
174,3.2589465445464304e-06,-0.0005018351116894553
175,-3.392918082388482e-06,-0.0005014072373842779
176,-1.0038904899764386e-05,-0.0005009093801413543
177,-1.668049990460612e-05,-0.0005003366892615228
178,-2.3319189093938422e-05,-0.0004996843140456224
179,-2.9956458464786093e-05,-0.0004989474037944917
180,-3.6593794014174e-05,-0.0004981211078089693
181,-4.3232681739126945e-05,-0.0004972005753898939
182,-4.9874607636669704e-05,-0.0004961809558381043
183,-5.652105770382701e-05,-0.0004950573984544393
184,-6.317351793762382e-05,-0.0004938250525397372
185,-6.983347433508485e-05,-0.0004924790673948371
186,-7.650241289323485e-05,-0.0004910145923205774
187,-8.31818196090988e-05,-0.0004894267766177969
188,-8.987318047970132e-05,-0.0004877107695873344
189,-9.657798150206729e-05,-0.0004858617205300284
190,-0.00010329770867322156,-0.00048387477874671774
191,-0.00011003384799018889,-0.00048174509353824107
192,-0.00011678788544999402,-0.0004794678142054371
193,-0.00012356130704966193,-0.00047703809004914446
194,-0.00013035559878621725,-0.00047445107037020204
195,-0.00013717224665668482,-0.0004717019044694481
196,-0.00014401273665808954,-0.00046878574164772163
197,-0.00015087855478745617,-0.0004656977312058616
198,-0.00015777118704180952,-0.0004624330224447061
199,-0.00016469211941817435,-0.0004589867646650943
200,-0.00017164283791357542,-0.00045535410716786463
201,-0.00017862482852503762,-0.00045153019925385583
202,-0.00018563957724958578,-0.0004475101902239068
203,-0.00019268857008424462,-0.0004432892293788559
204,-0.00019977329302603916,-0.00043886246601954217
205,-0.00020689523207199388,-0.000434225049446804
206,-0.0002140558732191337,-0.0004293721289614803
207,-0.00022125670246448363,-0.0004242988538644096
208,-0.00022849920580506823,-0.00041900037345643076
209,-0.00023578486923791234,-0.00041347183703838224
210,-0.00024311517876004083,-0.00040770839391110296
211,-0.0002504916203684785,-0.0004017051933754314
212,-0.00025791568006025014,-0.0003954573847322065
