,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.04,0.136,-0.269,0.169,0.003,0.002,2721.0,3607.0,1.0
beta0,0.107,0.059,0.01,0.204,0.001,0.001,4121.0,4912.0,1.0
beta1,0.05,0.041,-0.013,0.119,0.001,0.001,3667.0,3842.0,1.0
beta_coefs[0],0.107,0.059,0.01,0.204,0.001,0.001,4121.0,4912.0,1.0
beta_coefs[1],0.05,0.041,-0.013,0.119,0.001,0.001,3667.0,3842.0,1.0
beta_coefs[2],0.002,0.039,-0.059,0.066,0.001,0.001,4563.0,3844.0,1.0
beta_coefs[3],-0.026,0.031,-0.075,0.022,0.0,0.001,6064.0,4413.0,1.0
beta_coefs[4],-0.042,0.059,-0.137,0.055,0.001,0.001,4910.0,4470.0,1.0
lag_coef,-0.277,0.106,-0.446,-0.099,0.001,0.001,5797.0,5321.0,1.0
rw2_innovations[0],0.008,0.076,-0.106,0.14,0.001,0.002,3851.0,3034.0,1.0
rw2_innovations[1],0.021,0.072,-0.089,0.141,0.001,0.002,4971.0,3461.0,1.0
rw2_innovations[2],0.011,0.077,-0.114,0.13,0.001,0.002,6248.0,3677.0,1.0
sigma,0.296,0.025,0.254,0.336,0.0,0.0,5906.0,4845.0,1.0
sigma_smooth,0.069,0.052,0.002,0.143,0.001,0.001,1184.0,1944.0,1.0
sigma_year,0.374,0.116,0.198,0.538,0.002,0.002,2446.0,3774.0,1.0
year_raw[0],0.817,0.488,-0.026,1.562,0.009,0.006,3185.0,4350.0,1.0
year_raw[1],0.103,0.504,-0.721,0.927,0.008,0.006,3684.0,4966.0,1.0
year_raw[2],1.394,0.597,0.439,2.38,0.011,0.007,3119.0,3978.0,1.0
year_raw[3],0.159,0.546,-0.709,1.077,0.009,0.007,3525.0,4432.0,1.0
year_raw[4],0.026,0.543,-0.9,0.879,0.009,0.006,3823.0,4695.0,1.0
year_raw[5],-1.443,0.553,-2.313,-0.516,0.01,0.007,3227.0,4526.0,1.0
year_raw[6],-0.483,0.505,-1.272,0.385,0.009,0.006,3519.0,5311.0,1.0
year_raw[7],-0.613,0.503,-1.469,0.18,0.008,0.006,3522.0,4668.0,1.0
year_re[2017],0.284,0.165,0.009,0.548,0.003,0.002,3431.0,4533.0,1.0
year_re[2018],0.031,0.182,-0.265,0.324,0.003,0.002,3570.0,4859.0,1.0
year_re[2019],0.483,0.178,0.181,0.763,0.003,0.002,3701.0,4848.0,1.0
year_re[2020],0.054,0.198,-0.259,0.385,0.003,0.002,3552.0,4366.0,1.0
year_re[2021],0.012,0.197,-0.312,0.327,0.003,0.002,3704.0,4421.0,1.0
year_re[2022],-0.503,0.166,-0.782,-0.243,0.003,0.002,3429.0,4811.0,1.0
year_re[2023],-0.168,0.18,-0.444,0.139,0.003,0.002,3467.0,5197.0,1.0
year_re[2024],-0.214,0.178,-0.5,0.08,0.003,0.002,3659.0,4690.0,1.0
