,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.027,0.121,-0.215,0.174,0.003,0.002,1723.0,2597.0,1.0
beta0,0.073,0.037,0.013,0.133,0.001,0.0,3382.0,4175.0,1.0
beta1,0.024,0.03,-0.024,0.069,0.001,0.001,3109.0,2156.0,1.0
beta_coefs[0],0.073,0.037,0.013,0.133,0.001,0.0,3382.0,4175.0,1.0
beta_coefs[1],0.024,0.03,-0.024,0.069,0.001,0.001,3109.0,2156.0,1.0
beta_coefs[2],-0.006,0.031,-0.062,0.039,0.001,0.001,3878.0,3198.0,1.0
beta_coefs[3],-0.016,0.029,-0.062,0.027,0.0,0.001,4547.0,2860.0,1.0
beta_coefs[4],-0.032,0.045,-0.106,0.042,0.001,0.001,5730.0,4963.0,1.0
lag_coef,-0.2,0.078,-0.328,-0.07,0.001,0.001,6096.0,5629.0,1.0
rw2_innovations[0],0.019,0.074,-0.086,0.141,0.002,0.003,3109.0,2070.0,1.0
rw2_innovations[1],0.019,0.066,-0.074,0.13,0.001,0.002,4223.0,2550.0,1.0
rw2_innovations[2],-0.006,0.076,-0.115,0.119,0.001,0.002,4803.0,2690.0,1.0
sigma,0.302,0.019,0.273,0.333,0.0,0.0,5926.0,4956.0,1.0
sigma_smooth,0.065,0.052,0.0,0.138,0.002,0.001,878.0,1240.0,1.0
sigma_year,0.33,0.104,0.175,0.479,0.002,0.002,1789.0,3372.0,1.0
year_raw[0],0.518,0.439,-0.191,1.253,0.009,0.005,2188.0,3636.0,1.0
year_raw[1],0.747,0.468,-0.037,1.489,0.01,0.006,2096.0,3903.0,1.0
year_raw[2],-0.071,0.447,-0.785,0.69,0.009,0.005,2415.0,4148.0,1.0
year_raw[3],1.133,0.517,0.251,1.93,0.011,0.006,2074.0,3645.0,1.0
year_raw[4],0.389,0.449,-0.363,1.089,0.01,0.005,2219.0,3669.0,1.0
year_raw[5],-1.602,0.585,-2.533,-0.637,0.012,0.007,2203.0,2997.0,1.0
year_raw[6],-0.232,0.452,-0.997,0.485,0.009,0.005,2447.0,3506.0,1.0
year_raw[7],-0.848,0.489,-1.668,-0.07,0.01,0.006,2518.0,3598.0,1.0
year_re[2016],0.159,0.14,-0.066,0.385,0.003,0.002,2163.0,3310.0,1.0
year_re[2017],0.23,0.143,0.006,0.473,0.003,0.002,2184.0,3497.0,1.0
year_re[2018],-0.024,0.146,-0.252,0.223,0.003,0.002,2161.0,3321.0,1.0
year_re[2019],0.346,0.141,0.121,0.584,0.003,0.002,2206.0,3087.0,1.0
year_re[2021],0.121,0.145,-0.107,0.363,0.003,0.002,2225.0,3121.0,1.0
year_re[2022],-0.489,0.141,-0.707,-0.255,0.003,0.002,1985.0,3166.0,1.0
year_re[2023],-0.071,0.146,-0.314,0.16,0.003,0.002,2145.0,3259.0,1.0
year_re[2024],-0.259,0.145,-0.496,-0.029,0.003,0.002,2289.0,3622.0,1.0
